sqrts	xsec	
8400	0	
8408	0	
8416	0	
8424	0	
8432	0	
8440	0	
8448	0	
8456	0	
8464	0	
8472	0	
8480	0	
8488	1.23659e-19	
8496	8.23083e-20	
8504	6.58195e-20	
8512	5.63379e-20	
8520	4.998e-20	
8528	4.53326e-20	
8536	4.17416e-20	
8544	3.88572e-20	
8552	3.64728e-20	
8560	3.44578e-20	
8568	3.27249e-20	
8576	3.12132e-20	
8584	2.98788e-20	
8592	2.86891e-20	
8600	2.76195e-20	
8608	2.66507e-20	
8616	2.57676e-20	
8624	2.49581e-20	
8632	2.42122e-20	
8640	2.3522e-20	
8648	2.28808e-20	
8656	2.22828e-20	
8664	2.17233e-20	
8672	2.11984e-20	
8680	2.07045e-20	
8688	2.02386e-20	
8696	1.97981e-20	
8704	1.93807e-20	
8712	1.89845e-20	
8720	1.86076e-20	
8728	1.82486e-20	
8736	1.79059e-20	
8744	1.75784e-20	
8752	1.7265e-20	
8760	1.69647e-20	
8768	1.66765e-20	
8776	1.63996e-20	
8784	1.61333e-20	
8792	1.58769e-20	
8800	1.56299e-20	
8808	1.53916e-20	
8816	1.51615e-20	
8824	1.49392e-20	
8832	1.47242e-20	
8840	1.45161e-20	
8848	1.43145e-20	
8856	1.41192e-20	
8864	1.39297e-20	
8872	1.37458e-20	
8880	1.35672e-20	
8888	1.33937e-20	
8896	1.3225e-20	
8904	1.30609e-20	
8912	1.29011e-20	
8920	1.27456e-20	
8928	1.2594e-20	
8936	1.24463e-20	
8944	1.23023e-20	
8952	1.21618e-20	
8960	1.20246e-20	
8968	1.18907e-20	
8976	1.17599e-20	
8984	1.16321e-20	
8992	1.15072e-20	
9000	1.1385e-20	
9008	1.12655e-20	
9016	1.11486e-20	
9024	1.10341e-20	
9032	1.09221e-20	
9040	1.08123e-20	
9048	1.07048e-20	
9056	1.05994e-20	
9064	1.04961e-20	
9072	1.03948e-20	
9080	1.02955e-20	
9088	1.01981e-20	
9096	1.01024e-20	
9104	1.00086e-20	
9112	9.91644e-21	
9120	9.82596e-21	
9128	9.7371e-21	
9136	9.6498e-21	
9144	9.56403e-21	
9152	9.47973e-21	
9160	9.39687e-21	
9168	9.3154e-21	
9176	9.23528e-21	
9184	9.15649e-21	
9192	9.07897e-21	
9200	9.00271e-21	
9208	8.92766e-21	
9216	8.85379e-21	
9224	8.78108e-21	
9232	8.70949e-21	
9240	8.63899e-21	
9248	8.56957e-21	
9256	8.50118e-21	
9264	8.43381e-21	
9272	8.36743e-21	
9280	8.30202e-21	
9288	8.23755e-21	
9296	8.174e-21	
9304	8.11135e-21	
9312	8.04959e-21	
9320	7.98868e-21	
9328	7.92861e-21	
9336	7.86937e-21	
9344	7.81092e-21	
9352	7.75327e-21	
9360	7.69638e-21	
9368	7.64024e-21	
9376	7.58484e-21	
9384	7.53016e-21	
9392	7.47618e-21	
9400	7.4229e-21	
9408	7.37029e-21	
9416	7.31834e-21	
9424	7.26704e-21	
9432	7.21638e-21	
9440	7.16634e-21	
9448	7.11691e-21	
9456	7.06808e-21	
9464	7.01984e-21	
9472	6.97217e-21	
9480	6.92507e-21	
9488	6.87853e-21	
9496	6.83252e-21	
9504	6.78705e-21	
9512	6.74211e-21	
9520	6.69768e-21	
9528	6.65375e-21	
9536	6.61032e-21	
9544	6.56738e-21	
9552	6.52492e-21	
9560	6.48292e-21	
9568	6.44139e-21	
9576	6.40031e-21	
9584	6.35968e-21	
9592	6.31949e-21	
9600	6.27972e-21	
9608	6.24038e-21	
9616	6.20146e-21	
9624	6.16294e-21	
9632	6.12483e-21	
9640	6.08711e-21	
9648	6.04979e-21	
9656	6.01285e-21	
9664	5.97628e-21	
9672	5.94008e-21	
9680	5.90425e-21	
9688	5.86878e-21	
9696	5.83367e-21	
9704	5.7989e-21	
9712	5.76448e-21	
9720	5.73039e-21	
9728	5.69663e-21	
9736	5.66321e-21	
9744	5.6301e-21	
9752	5.59732e-21	
9760	5.56484e-21	
9768	5.53268e-21	
9776	5.50082e-21	
9784	5.46925e-21	
9792	5.43799e-21	
9800	5.40701e-21	
9808	5.37632e-21	
9816	5.34591e-21	
9824	5.31579e-21	
9832	5.28593e-21	
9840	5.25635e-21	
9848	5.22704e-21	
9856	5.19798e-21	
9864	5.16919e-21	
9872	5.14065e-21	
9880	5.11237e-21	
9888	5.08434e-21	
9896	5.05655e-21	
9904	5.029e-21	
9912	5.0017e-21	
9920	4.97463e-21	
9928	4.94779e-21	
9936	4.92118e-21	
9944	4.8948e-21	
9952	4.86865e-21	
9960	4.84272e-21	
9968	4.817e-21	
9976	4.7915e-21	
9984	4.76621e-21	
9992	4.74114e-21	
10000	4.71627e-21	
