sqrts	xsec	
8400	0	
8408	0	
8416	0	
8424	0	
8432	0	
8440	0	
8448	0	
8456	0	
8464	0	
8472	0	
8480	0	
8488	1.93088e-30	
8496	1.34419e-30	
8504	1.08968e-30	
8512	9.38887e-31	
8520	8.36182e-31	
8528	7.60381e-31	
8536	7.01426e-31	
8544	6.53844e-31	
8552	6.14369e-31	
8560	5.80915e-31	
8568	5.52079e-31	
8576	5.26877e-31	
8584	5.04595e-31	
8592	4.84705e-31	
8600	4.668e-31	
8608	4.50567e-31	
8616	4.35756e-31	
8624	4.22169e-31	
8632	4.09643e-31	
8640	3.98043e-31	
8648	3.8726e-31	
8656	3.772e-31	
8664	3.67785e-31	
8672	3.58946e-31	
8680	3.50626e-31	
8688	3.42775e-31	
8696	3.3535e-31	
8704	3.28313e-31	
8712	3.2163e-31	
8720	3.15272e-31	
8728	3.09213e-31	
8736	3.0343e-31	
8744	2.97901e-31	
8752	2.92609e-31	
8760	2.87537e-31	
8768	2.82668e-31	
8776	2.77991e-31	
8784	2.73492e-31	
8792	2.69159e-31	
8800	2.64984e-31	
8808	2.60955e-31	
8816	2.57065e-31	
8824	2.53306e-31	
8832	2.4967e-31	
8840	2.46151e-31	
8848	2.42742e-31	
8856	2.39437e-31	
8864	2.36232e-31	
8872	2.33121e-31	
8880	2.30099e-31	
8888	2.27163e-31	
8896	2.24308e-31	
8904	2.2153e-31	
8912	2.18826e-31	
8920	2.16193e-31	
8928	2.13628e-31	
8936	2.11127e-31	
8944	2.08689e-31	
8952	2.06309e-31	
8960	2.03987e-31	
8968	2.01719e-31	
8976	1.99504e-31	
8984	1.9734e-31	
8992	1.95224e-31	
9000	1.93155e-31	
9008	1.91131e-31	
9016	1.8915e-31	
9024	1.87211e-31	
9032	1.85313e-31	
9040	1.83454e-31	
9048	1.81632e-31	
9056	1.79847e-31	
9064	1.78096e-31	
9072	1.7638e-31	
9080	1.74697e-31	
9088	1.73046e-31	
9096	1.71425e-31	
9104	1.69835e-31	
9112	1.68273e-31	
9120	1.6674e-31	
9128	1.65234e-31	
9136	1.63755e-31	
9144	1.62301e-31	
9152	1.60872e-31	
9160	1.59467e-31	
9168	1.58086e-31	
9176	1.56728e-31	
9184	1.55393e-31	
9192	1.54079e-31	
9200	1.52786e-31	
9208	1.51513e-31	
9216	1.50261e-31	
9224	1.49028e-31	
9232	1.47815e-31	
9240	1.46619e-31	
9248	1.45442e-31	
9256	1.44283e-31	
9264	1.4314e-31	
9272	1.42015e-31	
9280	1.40906e-31	
9288	1.39813e-31	
9296	1.38735e-31	
9304	1.37673e-31	
9312	1.36625e-31	
9320	1.35592e-31	
9328	1.34574e-31	
9336	1.33569e-31	
9344	1.32578e-31	
9352	1.316e-31	
9360	1.30635e-31	
9368	1.29683e-31	
9376	1.28744e-31	
9384	1.27816e-31	
9392	1.26901e-31	
9400	1.25997e-31	
9408	1.25105e-31	
9416	1.24224e-31	
9424	1.23354e-31	
9432	1.22494e-31	
9440	1.21645e-31	
9448	1.20807e-31	
9456	1.19979e-31	
9464	1.19161e-31	
9472	1.18352e-31	
9480	1.17553e-31	
9488	1.16763e-31	
9496	1.15983e-31	
9504	1.15212e-31	
9512	1.14449e-31	
9520	1.13696e-31	
9528	1.1295e-31	
9536	1.12214e-31	
9544	1.11485e-31	
9552	1.10765e-31	
9560	1.10052e-31	
9568	1.09348e-31	
9576	1.08651e-31	
9584	1.07961e-31	
9592	1.0728e-31	
9600	1.06605e-31	
9608	1.05937e-31	
9616	1.05277e-31	
9624	1.04624e-31	
9632	1.03977e-31	
9640	1.03337e-31	
9648	1.02704e-31	
9656	1.02077e-31	
9664	1.01457e-31	
9672	1.00842e-31	
9680	1.00235e-31	
9688	9.96327e-32	
9696	9.90368e-32	
9704	9.84469e-32	
9712	9.78628e-32	
9720	9.72844e-32	
9728	9.67116e-32	
9736	9.61444e-32	
9744	9.55827e-32	
9752	9.50264e-32	
9760	9.44753e-32	
9768	9.39295e-32	
9776	9.33889e-32	
9784	9.28533e-32	
9792	9.23227e-32	
9800	9.17971e-32	
9808	9.12763e-32	
9816	9.07603e-32	
9824	9.0249e-32	
9832	8.97424e-32	
9840	8.92404e-32	
9848	8.87429e-32	
9856	8.82499e-32	
9864	8.77613e-32	
9872	8.72771e-32	
9880	8.67971e-32	
9888	8.63213e-32	
9896	8.58497e-32	
9904	8.53823e-32	
9912	8.49189e-32	
9920	8.44595e-32	
9928	8.4004e-32	
9936	8.35525e-32	
9944	8.31048e-32	
9952	8.26609e-32	
9960	8.22208e-32	
9968	8.17843e-32	
9976	8.13516e-32	
9984	8.09224e-32	
9992	8.04968e-32	
10000	8.00747e-32	
