sqrts	xsec	
8400	0	
8408	0	
8416	0	
8424	0	
8432	0	
8440	0	
8448	0	
8456	0	
8464	0	
8472	0	
8480	0	
8488	5.18882e-30	
8496	3.61221e-30	
8504	2.92827e-30	
8512	2.52305e-30	
8520	2.24706e-30	
8528	2.04336e-30	
8536	1.88493e-30	
8544	1.75706e-30	
8552	1.65098e-30	
8560	1.56108e-30	
8568	1.48359e-30	
8576	1.41587e-30	
8584	1.35599e-30	
8592	1.30254e-30	
8600	1.25442e-30	
8608	1.2108e-30	
8616	1.171e-30	
8624	1.13449e-30	
8632	1.10083e-30	
8640	1.06966e-30	
8648	1.04068e-30	
8656	1.01364e-30	
8664	9.88341e-31	
8672	9.64589e-31	
8680	9.42231e-31	
8688	9.21134e-31	
8696	9.0118e-31	
8704	8.82269e-31	
8712	8.64311e-31	
8720	8.47225e-31	
8728	8.30943e-31	
8736	8.15402e-31	
8744	8.00546e-31	
8752	7.86324e-31	
8760	7.72692e-31	
8768	7.5961e-31	
8776	7.4704e-31	
8784	7.34949e-31	
8792	7.23307e-31	
8800	7.12086e-31	
8808	7.01261e-31	
8816	6.90808e-31	
8824	6.80705e-31	
8832	6.70935e-31	
8840	6.61477e-31	
8848	6.52316e-31	
8856	6.43435e-31	
8864	6.34822e-31	
8872	6.26461e-31	
8880	6.18341e-31	
8888	6.1045e-31	
8896	6.02778e-31	
8904	5.95314e-31	
8912	5.88048e-31	
8920	5.80973e-31	
8928	5.74079e-31	
8936	5.67359e-31	
8944	5.60805e-31	
8952	5.54412e-31	
8960	5.48171e-31	
8968	5.42077e-31	
8976	5.36125e-31	
8984	5.30308e-31	
8992	5.24622e-31	
9000	5.19062e-31	
9008	5.13622e-31	
9016	5.083e-31	
9024	5.0309e-31	
9032	4.97988e-31	
9040	4.92992e-31	
9048	4.88096e-31	
9056	4.83298e-31	
9064	4.78595e-31	
9072	4.73984e-31	
9080	4.69461e-31	
9088	4.65023e-31	
9096	4.60669e-31	
9104	4.56395e-31	
9112	4.52198e-31	
9120	4.48078e-31	
9128	4.44031e-31	
9136	4.40055e-31	
9144	4.36148e-31	
9152	4.32308e-31	
9160	4.28534e-31	
9168	4.24823e-31	
9176	4.21173e-31	
9184	4.17584e-31	
9192	4.14053e-31	
9200	4.10578e-31	
9208	4.07159e-31	
9216	4.03794e-31	
9224	4.00481e-31	
9232	3.9722e-31	
9240	3.94008e-31	
9248	3.90845e-31	
9256	3.87729e-31	
9264	3.84659e-31	
9272	3.81634e-31	
9280	3.78654e-31	
9288	3.75716e-31	
9296	3.7282e-31	
9304	3.69966e-31	
9312	3.67151e-31	
9320	3.64375e-31	
9328	3.61638e-31	
9336	3.58938e-31	
9344	3.56275e-31	
9352	3.53647e-31	
9360	3.51054e-31	
9368	3.48496e-31	
9376	3.45971e-31	
9384	3.43479e-31	
9392	3.41018e-31	
9400	3.3859e-31	
9408	3.36192e-31	
9416	3.33824e-31	
9424	3.31486e-31	
9432	3.29177e-31	
9440	3.26896e-31	
9448	3.24643e-31	
9456	3.22417e-31	
9464	3.20218e-31	
9472	3.18045e-31	
9480	3.15898e-31	
9488	3.13776e-31	
9496	3.11679e-31	
9504	3.09607e-31	
9512	3.07558e-31	
9520	3.05532e-31	
9528	3.0353e-31	
9536	3.0155e-31	
9544	2.99592e-31	
9552	2.97656e-31	
9560	2.95742e-31	
9568	2.93848e-31	
9576	2.91976e-31	
9584	2.90123e-31	
9592	2.88291e-31	
9600	2.86478e-31	
9608	2.84684e-31	
9616	2.82909e-31	
9624	2.81153e-31	
9632	2.79416e-31	
9640	2.77696e-31	
9648	2.75994e-31	
9656	2.7431e-31	
9664	2.72643e-31	
9672	2.70992e-31	
9680	2.69359e-31	
9688	2.67741e-31	
9696	2.6614e-31	
9704	2.64555e-31	
9712	2.62985e-31	
9720	2.61431e-31	
9728	2.59892e-31	
9736	2.58367e-31	
9744	2.56858e-31	
9752	2.55363e-31	
9760	2.53882e-31	
9768	2.52415e-31	
9776	2.50962e-31	
9784	2.49523e-31	
9792	2.48097e-31	
9800	2.46685e-31	
9808	2.45285e-31	
9816	2.43899e-31	
9824	2.42525e-31	
9832	2.41163e-31	
9840	2.39814e-31	
9848	2.38477e-31	
9856	2.37153e-31	
9864	2.3584e-31	
9872	2.34538e-31	
9880	2.33248e-31	
9888	2.3197e-31	
9896	2.30703e-31	
9904	2.29446e-31	
9912	2.28201e-31	
9920	2.26967e-31	
9928	2.25743e-31	
9936	2.24529e-31	
9944	2.23326e-31	
9952	2.22133e-31	
9960	2.2095e-31	
9968	2.19778e-31	
9976	2.18615e-31	
9984	2.17461e-31	
9992	2.16318e-31	
10000	2.15183e-31	
