sqrts	xsec	
8400	0	
8408	0	
8416	0	
8424	0	
8432	0	
8440	0	
8448	0	
8456	0	
8464	0	
8472	0	
8480	0	
8488	9.86374e-13	
8496	6.56539e-13	
8504	5.25017e-13	
8512	4.49388e-13	
8520	3.98675e-13	
8528	3.61606e-13	
8536	3.32963e-13	
8544	3.09956e-13	
8552	2.90937e-13	
8560	2.74865e-13	
8568	2.61043e-13	
8576	2.48986e-13	
8584	2.38342e-13	
8592	2.28854e-13	
8600	2.20322e-13	
8608	2.12595e-13	
8616	2.05551e-13	
8624	1.99094e-13	
8632	1.93146e-13	
8640	1.87641e-13	
8648	1.82526e-13	
8656	1.77756e-13	
8664	1.73294e-13	
8672	1.69108e-13	
8680	1.65168e-13	
8688	1.61452e-13	
8696	1.57939e-13	
8704	1.5461e-13	
8712	1.5145e-13	
8720	1.48444e-13	
8728	1.4558e-13	
8736	1.42847e-13	
8744	1.40235e-13	
8752	1.37735e-13	
8760	1.3534e-13	
8768	1.33041e-13	
8776	1.30833e-13	
8784	1.28709e-13	
8792	1.26664e-13	
8800	1.24694e-13	
8808	1.22793e-13	
8816	1.20958e-13	
8824	1.19185e-13	
8832	1.1747e-13	
8840	1.1581e-13	
8848	1.14203e-13	
8856	1.12645e-13	
8864	1.11134e-13	
8872	1.09667e-13	
8880	1.08243e-13	
8888	1.06859e-13	
8896	1.05513e-13	
8904	1.04204e-13	
8912	1.0293e-13	
8920	1.0169e-13	
8928	1.00481e-13	
8936	9.93028e-14	
8944	9.81539e-14	
8952	9.70331e-14	
8960	9.59393e-14	
8968	9.48712e-14	
8976	9.3828e-14	
8984	9.28086e-14	
8992	9.18122e-14	
9000	9.08379e-14	
9008	8.98848e-14	
9016	8.89522e-14	
9024	8.80393e-14	
9032	8.71455e-14	
9040	8.62702e-14	
9048	8.54125e-14	
9056	8.45721e-14	
9064	8.37482e-14	
9072	8.29404e-14	
9080	8.21482e-14	
9088	8.13709e-14	
9096	8.06083e-14	
9104	7.98597e-14	
9112	7.91248e-14	
9120	7.84032e-14	
9128	7.76945e-14	
9136	7.69982e-14	
9144	7.63141e-14	
9152	7.56417e-14	
9160	7.49808e-14	
9168	7.4331e-14	
9176	7.3692e-14	
9184	7.30635e-14	
9192	7.24453e-14	
9200	7.1837e-14	
9208	7.12384e-14	
9216	7.06492e-14	
9224	7.00693e-14	
9232	6.94983e-14	
9240	6.8936e-14	
9248	6.83822e-14	
9256	6.78368e-14	
9264	6.72994e-14	
9272	6.677e-14	
9280	6.62482e-14	
9288	6.5734e-14	
9296	6.52272e-14	
9304	6.47275e-14	
9312	6.42348e-14	
9320	6.3749e-14	
9328	6.32699e-14	
9336	6.27973e-14	
9344	6.23312e-14	
9352	6.18713e-14	
9360	6.14175e-14	
9368	6.09698e-14	
9376	6.05279e-14	
9384	6.00917e-14	
9392	5.96612e-14	
9400	5.92362e-14	
9408	5.88165e-14	
9416	5.84022e-14	
9424	5.7993e-14	
9432	5.75889e-14	
9440	5.71898e-14	
9448	5.67955e-14	
9456	5.6406e-14	
9464	5.60212e-14	
9472	5.5641e-14	
9480	5.52653e-14	
9488	5.4894e-14	
9496	5.45271e-14	
9504	5.41644e-14	
9512	5.38059e-14	
9520	5.34515e-14	
9528	5.31011e-14	
9536	5.27547e-14	
9544	5.24122e-14	
9552	5.20735e-14	
9560	5.17385e-14	
9568	5.14072e-14	
9576	5.10795e-14	
9584	5.07554e-14	
9592	5.04348e-14	
9600	5.01176e-14	
9608	4.98038e-14	
9616	4.94933e-14	
9624	4.91861e-14	
9632	4.8882e-14	
9640	4.85812e-14	
9648	4.82834e-14	
9656	4.79888e-14	
9664	4.76971e-14	
9672	4.74084e-14	
9680	4.71225e-14	
9688	4.68396e-14	
9696	4.65595e-14	
9704	4.62821e-14	
9712	4.60075e-14	
9720	4.57356e-14	
9728	4.54663e-14	
9736	4.51997e-14	
9744	4.49356e-14	
9752	4.46741e-14	
9760	4.4415e-14	
9768	4.41584e-14	
9776	4.39043e-14	
9784	4.36525e-14	
9792	4.34031e-14	
9800	4.3156e-14	
9808	4.29112e-14	
9816	4.26686e-14	
9824	4.24283e-14	
9832	4.21901e-14	
9840	4.19541e-14	
9848	4.17203e-14	
9856	4.14885e-14	
9864	4.12588e-14	
9872	4.10312e-14	
9880	4.08055e-14	
9888	4.05819e-14	
9896	4.03602e-14	
9904	4.01405e-14	
9912	3.99226e-14	
9920	3.97067e-14	
9928	3.94926e-14	
9936	3.92804e-14	
9944	3.90699e-14	
9952	3.88613e-14	
9960	3.86544e-14	
9968	3.84492e-14	
9976	3.82458e-14	
9984	3.80441e-14	
9992	3.7844e-14	
10000	3.76456e-14	
