sqrts	xsec	
8400	0	
8408	0	
8416	0	
8424	0	
8432	0	
8440	0	
8448	0	
8456	0	
8464	0	
8472	0	
8480	0	
8488	1.544e-23	
8496	1.07486e-23	
8504	8.71344e-24	
8512	7.50766e-24	
8520	6.6864e-24	
8528	6.08027e-24	
8536	5.60885e-24	
8544	5.22836e-24	
8552	4.91271e-24	
8560	4.6452e-24	
8568	4.41462e-24	
8576	4.21309e-24	
8584	4.03492e-24	
8592	3.87587e-24	
8600	3.73269e-24	
8608	3.60289e-24	
8616	3.48446e-24	
8624	3.37581e-24	
8632	3.27564e-24	
8640	3.18289e-24	
8648	3.09667e-24	
8656	3.01623e-24	
8664	2.94093e-24	
8672	2.87025e-24	
8680	2.80373e-24	
8688	2.74095e-24	
8696	2.68157e-24	
8704	2.6253e-24	
8712	2.57186e-24	
8720	2.52103e-24	
8728	2.47258e-24	
8736	2.42633e-24	
8744	2.38212e-24	
8752	2.33981e-24	
8760	2.29924e-24	
8768	2.26031e-24	
8776	2.22291e-24	
8784	2.18693e-24	
8792	2.15229e-24	
8800	2.1189e-24	
8808	2.08669e-24	
8816	2.05558e-24	
8824	2.02552e-24	
8832	1.99645e-24	
8840	1.96831e-24	
8848	1.94105e-24	
8856	1.91462e-24	
8864	1.88899e-24	
8872	1.86411e-24	
8880	1.83995e-24	
8888	1.81647e-24	
8896	1.79364e-24	
8904	1.77143e-24	
8912	1.74981e-24	
8920	1.72876e-24	
8928	1.70824e-24	
8936	1.68825e-24	
8944	1.66875e-24	
8952	1.64972e-24	
8960	1.63115e-24	
8968	1.61302e-24	
8976	1.59531e-24	
8984	1.578e-24	
8992	1.56108e-24	
9000	1.54453e-24	
9008	1.52835e-24	
9016	1.51251e-24	
9024	1.49701e-24	
9032	1.48183e-24	
9040	1.46696e-24	
9048	1.45239e-24	
9056	1.43812e-24	
9064	1.42412e-24	
9072	1.4104e-24	
9080	1.39694e-24	
9088	1.38373e-24	
9096	1.37078e-24	
9104	1.35806e-24	
9112	1.34557e-24	
9120	1.33331e-24	
9128	1.32127e-24	
9136	1.30944e-24	
9144	1.29781e-24	
9152	1.28639e-24	
9160	1.27516e-24	
9168	1.26411e-24	
9176	1.25325e-24	
9184	1.24257e-24	
9192	1.23207e-24	
9200	1.22173e-24	
9208	1.21155e-24	
9216	1.20154e-24	
9224	1.19168e-24	
9232	1.18198e-24	
9240	1.17242e-24	
9248	1.16301e-24	
9256	1.15374e-24	
9264	1.1446e-24	
9272	1.1356e-24	
9280	1.12673e-24	
9288	1.11799e-24	
9296	1.10937e-24	
9304	1.10088e-24	
9312	1.0925e-24	
9320	1.08424e-24	
9328	1.0761e-24	
9336	1.06806e-24	
9344	1.06014e-24	
9352	1.05232e-24	
9360	1.04461e-24	
9368	1.03699e-24	
9376	1.02948e-24	
9384	1.02206e-24	
9392	1.01474e-24	
9400	1.00752e-24	
9408	1.00038e-24	
9416	9.93336e-25	
9424	9.86378e-25	
9432	9.79507e-25	
9440	9.7272e-25	
9448	9.66015e-25	
9456	9.59392e-25	
9464	9.52849e-25	
9472	9.46383e-25	
9480	9.39995e-25	
9488	9.33681e-25	
9496	9.27441e-25	
9504	9.21273e-25	
9512	9.15176e-25	
9520	9.09149e-25	
9528	9.03191e-25	
9536	8.973e-25	
9544	8.91474e-25	
9552	8.85714e-25	
9560	8.80017e-25	
9568	8.74383e-25	
9576	8.6881e-25	
9584	8.63298e-25	
9592	8.57845e-25	
9600	8.5245e-25	
9608	8.47113e-25	
9616	8.41832e-25	
9624	8.36607e-25	
9632	8.31436e-25	
9640	8.26319e-25	
9648	8.21255e-25	
9656	8.16243e-25	
9664	8.11282e-25	
9672	8.06371e-25	
9680	8.0151e-25	
9688	7.96697e-25	
9696	7.91933e-25	
9704	7.87216e-25	
9712	7.82545e-25	
9720	7.7792e-25	
9728	7.7334e-25	
9736	7.68804e-25	
9744	7.64312e-25	
9752	7.59864e-25	
9760	7.55457e-25	
9768	7.51093e-25	
9776	7.4677e-25	
9784	7.42487e-25	
9792	7.38244e-25	
9800	7.34041e-25	
9808	7.29877e-25	
9816	7.25751e-25	
9824	7.21663e-25	
9832	7.17612e-25	
9840	7.13597e-25	
9848	7.09619e-25	
9856	7.05677e-25	
9864	7.0177e-25	
9872	6.97898e-25	
9880	6.94059e-25	
9888	6.90255e-25	
9896	6.86484e-25	
9904	6.82746e-25	
9912	6.79041e-25	
9920	6.75367e-25	
9928	6.71725e-25	
9936	6.68115e-25	
9944	6.64535e-25	
9952	6.60985e-25	
9960	6.57466e-25	
9968	6.53976e-25	
9976	6.50515e-25	
9984	6.47084e-25	
9992	6.4368e-25	
10000	6.40305e-25	
