sqrts	xsec	
8400	0	
8408	0	
8416	0	
8424	0	
8432	0	
8440	0	
8448	0	
8456	0	
8464	0	
8472	0	
8480	0	
8488	3.49708e-17	
8496	2.32768e-17	
8504	1.86137e-17	
8512	1.59324e-17	
8520	1.41343e-17	
8528	1.282e-17	
8536	1.18045e-17	
8544	1.09888e-17	
8552	1.03145e-17	
8560	9.74465e-18	
8568	9.25458e-18	
8576	8.82707e-18	
8584	8.44971e-18	
8592	8.11328e-18	
8600	7.81079e-18	
8608	7.53682e-18	
8616	7.28707e-18	
8624	7.05813e-18	
8632	6.84721e-18	
8640	6.65202e-18	
8648	6.47067e-18	
8656	6.30156e-18	
8664	6.14336e-18	
8672	5.9949e-18	
8680	5.85522e-18	
8688	5.72347e-18	
8696	5.59889e-18	
8704	5.48086e-18	
8712	5.36881e-18	
8720	5.26223e-18	
8728	5.16069e-18	
8736	5.06379e-18	
8744	4.97118e-18	
8752	4.88254e-18	
8760	4.7976e-18	
8768	4.7161e-18	
8776	4.6378e-18	
8784	4.56249e-18	
8792	4.49e-18	
8800	4.42013e-18	
8808	4.35274e-18	
8816	4.28767e-18	
8824	4.22479e-18	
8832	4.16399e-18	
8840	4.10514e-18	
8848	4.04814e-18	
8856	3.99289e-18	
8864	3.93931e-18	
8872	3.88731e-18	
8880	3.8368e-18	
8888	3.78773e-18	
8896	3.74002e-18	
8904	3.69361e-18	
8912	3.64844e-18	
8920	3.60445e-18	
8928	3.56159e-18	
8936	3.51982e-18	
8944	3.47908e-18	
8952	3.43934e-18	
8960	3.40056e-18	
8968	3.36269e-18	
8976	3.3257e-18	
8984	3.28955e-18	
8992	3.25422e-18	
9000	3.21968e-18	
9008	3.18588e-18	
9016	3.15281e-18	
9024	3.12045e-18	
9032	3.08876e-18	
9040	3.05772e-18	
9048	3.02731e-18	
9056	2.99751e-18	
9064	2.9683e-18	
9072	2.93966e-18	
9080	2.91156e-18	
9088	2.88401e-18	
9096	2.85696e-18	
9104	2.83042e-18	
9112	2.80437e-18	
9120	2.77878e-18	
9128	2.75365e-18	
9136	2.72896e-18	
9144	2.7047e-18	
9152	2.68086e-18	
9160	2.65743e-18	
9168	2.63439e-18	
9176	2.61173e-18	
9184	2.58945e-18	
9192	2.56753e-18	
9200	2.54596e-18	
9208	2.52474e-18	
9216	2.50385e-18	
9224	2.48329e-18	
9232	2.46304e-18	
9240	2.4431e-18	
9248	2.42347e-18	
9256	2.40413e-18	
9264	2.38508e-18	
9272	2.36631e-18	
9280	2.34781e-18	
9288	2.32958e-18	
9296	2.3116e-18	
9304	2.29389e-18	
9312	2.27642e-18	
9320	2.2592e-18	
9328	2.24221e-18	
9336	2.22545e-18	
9344	2.20893e-18	
9352	2.19262e-18	
9360	2.17653e-18	
9368	2.16066e-18	
9376	2.14499e-18	
9384	2.12953e-18	
9392	2.11426e-18	
9400	2.09919e-18	
9408	2.08431e-18	
9416	2.06962e-18	
9424	2.05512e-18	
9432	2.04079e-18	
9440	2.02664e-18	
9448	2.01266e-18	
9456	1.99885e-18	
9464	1.98521e-18	
9472	1.97173e-18	
9480	1.95841e-18	
9488	1.94524e-18	
9496	1.93224e-18	
9504	1.91938e-18	
9512	1.90667e-18	
9520	1.8941e-18	
9528	1.88168e-18	
9536	1.8694e-18	
9544	1.85725e-18	
9552	1.84525e-18	
9560	1.83337e-18	
9568	1.82162e-18	
9576	1.81001e-18	
9584	1.79852e-18	
9592	1.78715e-18	
9600	1.7759e-18	
9608	1.76478e-18	
9616	1.75377e-18	
9624	1.74288e-18	
9632	1.7321e-18	
9640	1.72143e-18	
9648	1.71088e-18	
9656	1.70043e-18	
9664	1.69009e-18	
9672	1.67985e-18	
9680	1.66972e-18	
9688	1.65969e-18	
9696	1.64976e-18	
9704	1.63993e-18	
9712	1.63019e-18	
9720	1.62055e-18	
9728	1.61101e-18	
9736	1.60155e-18	
9744	1.59219e-18	
9752	1.58292e-18	
9760	1.57374e-18	
9768	1.56464e-18	
9776	1.55563e-18	
9784	1.5467e-18	
9792	1.53786e-18	
9800	1.5291e-18	
9808	1.52042e-18	
9816	1.51182e-18	
9824	1.5033e-18	
9832	1.49486e-18	
9840	1.48649e-18	
9848	1.4782e-18	
9856	1.46999e-18	
9864	1.46185e-18	
9872	1.45378e-18	
9880	1.44578e-18	
9888	1.43785e-18	
9896	1.42999e-18	
9904	1.4222e-18	
9912	1.41448e-18	
9920	1.40682e-18	
9928	1.39923e-18	
9936	1.39171e-18	
9944	1.38425e-18	
9952	1.37685e-18	
9960	1.36952e-18	
9968	1.36225e-18	
9976	1.35503e-18	
9984	1.34788e-18	
9992	1.34079e-18	
10000	1.33376e-18	
