sqrts	xsec	
8400	0	
8408	0	
8416	0	
8424	0	
8432	0	
8440	0	
8448	0	
8456	0	
8464	0	
8472	0	
8480	0	
8488	5.46053e-28	
8496	3.80136e-28	
8504	3.08161e-28	
8512	2.65517e-28	
8520	2.36472e-28	
8528	2.15036e-28	
8536	1.98363e-28	
8544	1.84907e-28	
8552	1.73743e-28	
8560	1.64283e-28	
8568	1.56128e-28	
8576	1.49001e-28	
8584	1.42699e-28	
8592	1.37074e-28	
8600	1.32011e-28	
8608	1.2742e-28	
8616	1.23232e-28	
8624	1.19389e-28	
8632	1.15847e-28	
8640	1.12567e-28	
8648	1.09517e-28	
8656	1.06672e-28	
8664	1.04009e-28	
8672	1.0151e-28	
8680	9.91569e-29	
8688	9.69367e-29	
8696	9.48369e-29	
8704	9.28468e-29	
8712	9.09569e-29	
8720	8.91589e-29	
8728	8.74454e-29	
8736	8.58099e-29	
8744	8.42465e-29	
8752	8.27498e-29	
8760	8.13153e-29	
8768	7.99386e-29	
8776	7.86158e-29	
8784	7.73434e-29	
8792	7.61182e-29	
8800	7.49373e-29	
8808	7.37981e-29	
8816	7.2698e-29	
8824	7.16349e-29	
8832	7.06067e-29	
8840	6.96114e-29	
8848	6.86473e-29	
8856	6.77128e-29	
8864	6.68063e-29	
8872	6.59264e-29	
8880	6.50719e-29	
8888	6.42415e-29	
8896	6.34341e-29	
8904	6.26486e-29	
8912	6.1884e-29	
8920	6.11394e-29	
8928	6.04139e-29	
8936	5.97068e-29	
8944	5.90171e-29	
8952	5.83442e-29	
8960	5.76875e-29	
8968	5.70462e-29	
8976	5.64198e-29	
8984	5.58077e-29	
8992	5.52093e-29	
9000	5.46241e-29	
9008	5.40517e-29	
9016	5.34916e-29	
9024	5.29433e-29	
9032	5.24065e-29	
9040	5.18806e-29	
9048	5.13654e-29	
9056	5.08606e-29	
9064	5.03656e-29	
9072	4.98803e-29	
9080	4.94043e-29	
9088	4.89373e-29	
9096	4.84791e-29	
9104	4.80293e-29	
9112	4.75877e-29	
9120	4.71541e-29	
9128	4.67282e-29	
9136	4.63097e-29	
9144	4.58986e-29	
9152	4.54945e-29	
9160	4.50973e-29	
9168	4.47068e-29	
9176	4.43227e-29	
9184	4.3945e-29	
9192	4.35734e-29	
9200	4.32078e-29	
9208	4.2848e-29	
9216	4.24938e-29	
9224	4.21452e-29	
9232	4.18019e-29	
9240	4.14639e-29	
9248	4.1131e-29	
9256	4.08031e-29	
9264	4.04801e-29	
9272	4.01618e-29	
9280	3.98481e-29	
9288	3.9539e-29	
9296	3.92342e-29	
9304	3.89338e-29	
9312	3.86376e-29	
9320	3.83455e-29	
9328	3.80574e-29	
9336	3.77733e-29	
9344	3.7493e-29	
9352	3.72165e-29	
9360	3.69437e-29	
9368	3.66744e-29	
9376	3.64087e-29	
9384	3.61464e-29	
9392	3.58875e-29	
9400	3.56319e-29	
9408	3.53796e-29	
9416	3.51304e-29	
9424	3.48844e-29	
9432	3.46413e-29	
9440	3.44013e-29	
9448	3.41642e-29	
9456	3.393e-29	
9464	3.36986e-29	
9472	3.34699e-29	
9480	3.3244e-29	
9488	3.30207e-29	
9496	3.28e-29	
9504	3.25819e-29	
9512	3.23662e-29	
9520	3.21531e-29	
9528	3.19424e-29	
9536	3.1734e-29	
9544	3.1528e-29	
9552	3.13243e-29	
9560	3.11228e-29	
9568	3.09235e-29	
9576	3.07264e-29	
9584	3.05315e-29	
9592	3.03386e-29	
9600	3.01479e-29	
9608	2.99591e-29	
9616	2.97723e-29	
9624	2.95875e-29	
9632	2.94047e-29	
9640	2.92237e-29	
9648	2.90446e-29	
9656	2.88673e-29	
9664	2.86919e-29	
9672	2.85182e-29	
9680	2.83463e-29	
9688	2.81761e-29	
9696	2.80076e-29	
9704	2.78408e-29	
9712	2.76756e-29	
9720	2.7512e-29	
9728	2.735e-29	
9736	2.71896e-29	
9744	2.70308e-29	
9752	2.68734e-29	
9760	2.67176e-29	
9768	2.65632e-29	
9776	2.64103e-29	
9784	2.62589e-29	
9792	2.61088e-29	
9800	2.59602e-29	
9808	2.58129e-29	
9816	2.5667e-29	
9824	2.55224e-29	
9832	2.53791e-29	
9840	2.52372e-29	
9848	2.50965e-29	
9856	2.49571e-29	
9864	2.48189e-29	
9872	2.46819e-29	
9880	2.45462e-29	
9888	2.44116e-29	
9896	2.42783e-29	
9904	2.41461e-29	
9912	2.4015e-29	
9920	2.38851e-29	
9928	2.37563e-29	
9936	2.36286e-29	
9944	2.3502e-29	
9952	2.33765e-29	
9960	2.3252e-29	
9968	2.31286e-29	
9976	2.30062e-29	
9984	2.28848e-29	
9992	2.27645e-29	
10000	2.26451e-29	
