sqrts	xsec	
8400	0	
8408	0	
8416	0	
8424	0	
8432	0	
8440	0	
8448	0	
8456	0	
8464	0	
8472	0	
8480	0	
8488	1.79811e-10	
8496	1.19888e-10	
8504	9.60342e-11	
8512	8.23403e-11	
8520	7.31723e-11	
8528	6.64813e-11	
8536	6.13191e-11	
8544	5.71787e-11	
8552	5.37611e-11	
8560	5.0877e-11	
8568	4.84001e-11	
8576	4.62424e-11	
8584	4.43402e-11	
8592	4.26466e-11	
8600	4.11258e-11	
8608	3.975e-11	
8616	3.84975e-11	
8624	3.73506e-11	
8632	3.62952e-11	
8640	3.53197e-11	
8648	3.44143e-11	
8656	3.35709e-11	
8664	3.27828e-11	
8672	3.20439e-11	
8680	3.13495e-11	
8688	3.06951e-11	
8696	3.00769e-11	
8704	2.94918e-11	
8712	2.89368e-11	
8720	2.84093e-11	
8728	2.79073e-11	
8736	2.74286e-11	
8744	2.69714e-11	
8752	2.65342e-11	
8760	2.61156e-11	
8768	2.57142e-11	
8776	2.53289e-11	
8784	2.49586e-11	
8792	2.46023e-11	
8800	2.42592e-11	
8808	2.39285e-11	
8816	2.36093e-11	
8824	2.33011e-11	
8832	2.30033e-11	
8840	2.27152e-11	
8848	2.24363e-11	
8856	2.21661e-11	
8864	2.19042e-11	
8872	2.16501e-11	
8880	2.14035e-11	
8888	2.1164e-11	
8896	2.09313e-11	
8904	2.07049e-11	
8912	2.04847e-11	
8920	2.02704e-11	
8928	2.00617e-11	
8936	1.98583e-11	
8944	1.96601e-11	
8952	1.94667e-11	
8960	1.92781e-11	
8968	1.9094e-11	
8976	1.89142e-11	
8984	1.87386e-11	
8992	1.85669e-11	
9000	1.83992e-11	
9008	1.82351e-11	
9016	1.80746e-11	
9024	1.79175e-11	
9032	1.77637e-11	
9040	1.76131e-11	
9048	1.74656e-11	
9056	1.73211e-11	
9064	1.71795e-11	
9072	1.70406e-11	
9080	1.69044e-11	
9088	1.67709e-11	
9096	1.66398e-11	
9104	1.65112e-11	
9112	1.63849e-11	
9120	1.62609e-11	
9128	1.61392e-11	
9136	1.60196e-11	
9144	1.5902e-11	
9152	1.57866e-11	
9160	1.5673e-11	
9168	1.55614e-11	
9176	1.54516e-11	
9184	1.53437e-11	
9192	1.52375e-11	
9200	1.5133e-11	
9208	1.50301e-11	
9216	1.49289e-11	
9224	1.48293e-11	
9232	1.47312e-11	
9240	1.46345e-11	
9248	1.45394e-11	
9256	1.44456e-11	
9264	1.43532e-11	
9272	1.42622e-11	
9280	1.41725e-11	
9288	1.40841e-11	
9296	1.39969e-11	
9304	1.39109e-11	
9312	1.38261e-11	
9320	1.37425e-11	
9328	1.36601e-11	
9336	1.35787e-11	
9344	1.34985e-11	
9352	1.34193e-11	
9360	1.33411e-11	
9368	1.32639e-11	
9376	1.31878e-11	
9384	1.31126e-11	
9392	1.30383e-11	
9400	1.2965e-11	
9408	1.28926e-11	
9416	1.28211e-11	
9424	1.27505e-11	
9432	1.26807e-11	
9440	1.26118e-11	
9448	1.25437e-11	
9456	1.24763e-11	
9464	1.24098e-11	
9472	1.23441e-11	
9480	1.22791e-11	
9488	1.22148e-11	
9496	1.21513e-11	
9504	1.20885e-11	
9512	1.20264e-11	
9520	1.1965e-11	
9528	1.19042e-11	
9536	1.18441e-11	
9544	1.17847e-11	
9552	1.17259e-11	
9560	1.16678e-11	
9568	1.16102e-11	
9576	1.15533e-11	
9584	1.14969e-11	
9592	1.14412e-11	
9600	1.1386e-11	
9608	1.13313e-11	
9616	1.12773e-11	
9624	1.12237e-11	
9632	1.11707e-11	
9640	1.11183e-11	
9648	1.10663e-11	
9656	1.10149e-11	
9664	1.0964e-11	
9672	1.09135e-11	
9680	1.08636e-11	
9688	1.08141e-11	
9696	1.07651e-11	
9704	1.07165e-11	
9712	1.06684e-11	
9720	1.06208e-11	
9728	1.05736e-11	
9736	1.05268e-11	
9744	1.04805e-11	
9752	1.04345e-11	
9760	1.0389e-11	
9768	1.03439e-11	
9776	1.02992e-11	
9784	1.02549e-11	
9792	1.0211e-11	
9800	1.01675e-11	
9808	1.01243e-11	
9816	1.00815e-11	
9824	1.00391e-11	
9832	9.99708e-12	
9840	9.95539e-12	
9848	9.91405e-12	
9856	9.87306e-12	
9864	9.83242e-12	
9872	9.79211e-12	
9880	9.75213e-12	
9888	9.71248e-12	
9896	9.67316e-12	
9904	9.63415e-12	
9912	9.59546e-12	
9920	9.55708e-12	
9928	9.51901e-12	
9936	9.48125e-12	
9944	9.44378e-12	
9952	9.4066e-12	
9960	9.36972e-12	
9968	9.33312e-12	
9976	9.29681e-12	
9984	9.26078e-12	
9992	9.22502e-12	
10000	9.18954e-12	
