sqrts	xsec	
8400	0	
8408	0	
8416	0	
8424	0	
8432	0	
8440	0	
8448	0	
8456	0	
8464	0	
8472	0	
8480	0	
8488	6.72951e-38	
8496	4.67594e-38	
8504	3.78347e-38	
8512	3.25378e-38	
8520	2.89241e-38	
8528	2.62528e-38	
8536	2.41719e-38	
8544	2.249e-38	
8552	2.10927e-38	
8560	1.99069e-38	
8568	1.88834e-38	
8576	1.79878e-38	
8584	1.7195e-38	
8592	1.64865e-38	
8600	1.58479e-38	
8608	1.52684e-38	
8616	1.47391e-38	
8624	1.4253e-38	
8632	1.38045e-38	
8640	1.33888e-38	
8648	1.3002e-38	
8656	1.26408e-38	
8664	1.23026e-38	
8672	1.19847e-38	
8680	1.16854e-38	
8688	1.14027e-38	
8696	1.11352e-38	
8704	1.08815e-38	
8712	1.06404e-38	
8720	1.0411e-38	
8728	1.01922e-38	
8736	9.98324e-39	
8744	9.78342e-39	
8752	9.59206e-39	
8760	9.40857e-39	
8768	9.2324e-39	
8776	9.06308e-39	
8784	8.90016e-39	
8792	8.74324e-39	
8800	8.59196e-39	
8808	8.44598e-39	
8816	8.30499e-39	
8824	8.16871e-39	
8832	8.03687e-39	
8840	7.90925e-39	
8848	7.78561e-39	
8856	7.66575e-39	
8864	7.54948e-39	
8872	7.43663e-39	
8880	7.32702e-39	
8888	7.2205e-39	
8896	7.11693e-39	
8904	7.01618e-39	
8912	6.91811e-39	
8920	6.82262e-39	
8928	6.72958e-39	
8936	6.63891e-39	
8944	6.55049e-39	
8952	6.46424e-39	
8960	6.38006e-39	
8968	6.29789e-39	
8976	6.21764e-39	
8984	6.13923e-39	
8992	6.0626e-39	
9000	5.98769e-39	
9008	5.91442e-39	
9016	5.84275e-39	
9024	5.77261e-39	
9032	5.70396e-39	
9040	5.63674e-39	
9048	5.5709e-39	
9056	5.5064e-39	
9064	5.44319e-39	
9072	5.38124e-39	
9080	5.3205e-39	
9088	5.26093e-39	
9096	5.20251e-39	
9104	5.14518e-39	
9112	5.08893e-39	
9120	5.03372e-39	
9128	4.97951e-39	
9136	4.92629e-39	
9144	4.87401e-39	
9152	4.82266e-39	
9160	4.77221e-39	
9168	4.72263e-39	
9176	4.6739e-39	
9184	4.62599e-39	
9192	4.5789e-39	
9200	4.53258e-39	
9208	4.48703e-39	
9216	4.44222e-39	
9224	4.39814e-39	
9232	4.35476e-39	
9240	4.31207e-39	
9248	4.27006e-39	
9256	4.22869e-39	
9264	4.18797e-39	
9272	4.14788e-39	
9280	4.10839e-39	
9288	4.06949e-39	
9296	4.03118e-39	
9304	3.99344e-39	
9312	3.95625e-39	
9320	3.9196e-39	
9328	3.88349e-39	
9336	3.84789e-39	
9344	3.8128e-39	
9352	3.77821e-39	
9360	3.7441e-39	
9368	3.71047e-39	
9376	3.6773e-39	
9384	3.64459e-39	
9392	3.61232e-39	
9400	3.5805e-39	
9408	3.5491e-39	
9416	3.51811e-39	
9424	3.48754e-39	
9432	3.45738e-39	
9440	3.4276e-39	
9448	3.39822e-39	
9456	3.36921e-39	
9464	3.34058e-39	
9472	3.31231e-39	
9480	3.2844e-39	
9488	3.25684e-39	
9496	3.22962e-39	
9504	3.20275e-39	
9512	3.1762e-39	
9520	3.14998e-39	
9528	3.12409e-39	
9536	3.0985e-39	
9544	3.07323e-39	
9552	3.04826e-39	
9560	3.02358e-39	
9568	2.9992e-39	
9576	2.97511e-39	
9584	2.9513e-39	
9592	2.92777e-39	
9600	2.90451e-39	
9608	2.88152e-39	
9616	2.8588e-39	
9624	2.83633e-39	
9632	2.81412e-39	
9640	2.79216e-39	
9648	2.77045e-39	
9656	2.74898e-39	
9664	2.72775e-39	
9672	2.70676e-39	
9680	2.68599e-39	
9688	2.66546e-39	
9696	2.64515e-39	
9704	2.62506e-39	
9712	2.60519e-39	
9720	2.58553e-39	
9728	2.56608e-39	
9736	2.54684e-39	
9744	2.5278e-39	
9752	2.50897e-39	
9760	2.49033e-39	
9768	2.47189e-39	
9776	2.45364e-39	
9784	2.43558e-39	
9792	2.41771e-39	
9800	2.40002e-39	
9808	2.38251e-39	
9816	2.36519e-39	
9824	2.34803e-39	
9832	2.33106e-39	
9840	2.31425e-39	
9848	2.29761e-39	
9856	2.28114e-39	
9864	2.26483e-39	
9872	2.24868e-39	
9880	2.2327e-39	
9888	2.21687e-39	
9896	2.20119e-39	
9904	2.18567e-39	
9912	2.1703e-39	
9920	2.15508e-39	
9928	2.14001e-39	
9936	2.12508e-39	
9944	2.11029e-39	
9952	2.09565e-39	
9960	2.08114e-39	
9968	2.06677e-39	
9976	2.05254e-39	
9984	2.03844e-39	
9992	2.02447e-39	
10000	2.01064e-39	
