sqrts	xsec	
8400	0	
8408	0	
8416	0	
8424	0	
8432	0	
8440	0	
8448	0	
8456	0	
8464	0	
8472	0	
8480	0	
8488	7.91744e-21	
8496	5.29657e-21	
8504	4.25693e-21	
8512	3.6621e-21	
8520	3.26521e-21	
8528	2.97652e-21	
8536	2.75454e-21	
8544	2.57708e-21	
8552	2.4311e-21	
8560	2.30831e-21	
8568	2.20321e-21	
8576	2.11195e-21	
8584	2.03177e-21	
8592	1.96062e-21	
8600	1.89694e-21	
8608	1.83952e-21	
8616	1.78742e-21	
8624	1.73987e-21	
8632	1.69626e-21	
8640	1.65608e-21	
8648	1.61891e-21	
8656	1.5844e-21	
8664	1.55226e-21	
8672	1.52223e-21	
8680	1.4941e-21	
8688	1.46767e-21	
8696	1.44279e-21	
8704	1.41932e-21	
8712	1.39713e-21	
8720	1.37611e-21	
8728	1.35617e-21	
8736	1.33722e-21	
8744	1.31918e-21	
8752	1.30199e-21	
8760	1.28558e-21	
8768	1.26989e-21	
8776	1.25489e-21	
8784	1.24051e-21	
8792	1.22673e-21	
8800	1.2135e-21	
8808	1.20079e-21	
8816	1.18856e-21	
8824	1.1768e-21	
8832	1.16546e-21	
8840	1.15453e-21	
8848	1.14399e-21	
8856	1.13381e-21	
8864	1.12397e-21	
8872	1.11446e-21	
8880	1.10526e-21	
8888	1.09635e-21	
8896	1.08772e-21	
8904	1.07936e-21	
8912	1.07125e-21	
8920	1.06338e-21	
8928	1.05575e-21	
8936	1.04833e-21	
8944	1.04113e-21	
8952	1.03413e-21	
8960	1.02731e-21	
8968	1.02069e-21	
8976	1.01424e-21	
8984	1.00796e-21	
8992	1.00185e-21	
9000	9.95889e-22	
9008	9.90081e-22	
9016	9.84419e-22	
9024	9.78895e-22	
9032	9.73506e-22	
9040	9.68247e-22	
9048	9.63112e-22	
9056	9.58097e-22	
9064	9.53199e-22	
9072	9.48412e-22	
9080	9.43734e-22	
9088	9.3916e-22	
9096	9.34688e-22	
9104	9.30313e-22	
9112	9.26033e-22	
9120	9.21844e-22	
9128	9.17744e-22	
9136	9.13729e-22	
9144	9.09798e-22	
9152	9.05948e-22	
9160	9.02176e-22	
9168	8.98479e-22	
9176	8.94857e-22	
9184	8.91305e-22	
9192	8.87823e-22	
9200	8.84409e-22	
9208	8.8106e-22	
9216	8.77775e-22	
9224	8.74552e-22	
9232	8.71389e-22	
9240	8.68284e-22	
9248	8.65237e-22	
9256	8.62245e-22	
9264	8.59307e-22	
9272	8.56422e-22	
9280	8.53588e-22	
9288	8.50804e-22	
9296	8.48069e-22	
9304	8.45381e-22	
9312	8.4274e-22	
9320	8.40143e-22	
9328	8.37591e-22	
9336	8.35082e-22	
9344	8.32614e-22	
9352	8.30188e-22	
9360	8.27802e-22	
9368	8.25454e-22	
9376	8.23145e-22	
9384	8.20873e-22	
9392	8.18638e-22	
9400	8.16438e-22	
9408	8.14273e-22	
9416	8.12142e-22	
9424	8.10045e-22	
9432	8.0798e-22	
9440	8.05947e-22	
9448	8.03945e-22	
9456	8.01973e-22	
9464	8.00032e-22	
9472	7.98119e-22	
9480	7.96236e-22	
9488	7.9438e-22	
9496	7.92552e-22	
9504	7.90751e-22	
9512	7.88976e-22	
9520	7.87227e-22	
9528	7.85503e-22	
9536	7.83804e-22	
9544	7.8213e-22	
9552	7.80479e-22	
9560	7.78852e-22	
9568	7.77247e-22	
9576	7.75666e-22	
9584	7.74106e-22	
9592	7.72568e-22	
9600	7.71051e-22	
9608	7.69555e-22	
9616	7.6808e-22	
9624	7.66624e-22	
9632	7.65189e-22	
9640	7.63773e-22	
9648	7.62375e-22	
9656	7.60997e-22	
9664	7.59637e-22	
9672	7.58295e-22	
9680	7.56971e-22	
9688	7.55664e-22	
9696	7.54374e-22	
9704	7.53101e-22	
9712	7.51845e-22	
9720	7.50604e-22	
9728	7.4938e-22	
9736	7.48172e-22	
9744	7.46979e-22	
9752	7.45801e-22	
9760	7.44638e-22	
9768	7.4349e-22	
9776	7.42356e-22	
9784	7.41236e-22	
9792	7.40131e-22	
9800	7.39039e-22	
9808	7.37961e-22	
9816	7.36896e-22	
9824	7.35844e-22	
9832	7.34805e-22	
9840	7.33779e-22	
9848	7.32766e-22	
9856	7.31764e-22	
9864	7.30775e-22	
9872	7.29798e-22	
9880	7.28832e-22	
9888	7.27878e-22	
9896	7.26936e-22	
9904	7.26005e-22	
9912	7.25085e-22	
9920	7.24175e-22	
9928	7.23277e-22	
9936	7.22389e-22	
9944	7.21511e-22	
9952	7.20644e-22	
9960	7.19787e-22	
9968	7.1894e-22	
9976	7.18103e-22	
9984	7.17275e-22	
9992	7.16457e-22	
10000	7.15649e-22	
