sqrts	xsec	
8400	0	
8408	0	
8416	0	
8424	0	
8432	0	
8440	0	
8448	0	
8456	0	
8464	0	
8472	0	
8480	0	
8488	1.65417e-10	
8496	1.15352e-10	
8504	9.36711e-11	
8512	8.08464e-11	
8520	7.21252e-11	
8528	6.56986e-11	
8536	6.07077e-11	
8544	5.66856e-11	
8552	5.33536e-11	
8560	5.05338e-11	
8568	4.81066e-11	
8576	4.59881e-11	
8584	4.41177e-11	
8592	4.24501e-11	
8600	4.09509e-11	
8608	3.95933e-11	
8616	3.83562e-11	
8624	3.72226e-11	
8632	3.61787e-11	
8640	3.52132e-11	
8648	3.43166e-11	
8656	3.3481e-11	
8664	3.26998e-11	
8672	3.19671e-11	
8680	3.12782e-11	
8688	3.06288e-11	
8696	3.00151e-11	
8704	2.94341e-11	
8712	2.88828e-11	
8720	2.83588e-11	
8728	2.78598e-11	
8736	2.73839e-11	
8744	2.69294e-11	
8752	2.64947e-11	
8760	2.60783e-11	
8768	2.56789e-11	
8776	2.52956e-11	
8784	2.4927e-11	
8792	2.45724e-11	
8800	2.42309e-11	
8808	2.39016e-11	
8816	2.35838e-11	
8824	2.32769e-11	
8832	2.29803e-11	
8840	2.26933e-11	
8848	2.24154e-11	
8856	2.21463e-11	
8864	2.18853e-11	
8872	2.16321e-11	
8880	2.13864e-11	
8888	2.11477e-11	
8896	2.09157e-11	
8904	2.06901e-11	
8912	2.04706e-11	
8920	2.02569e-11	
8928	2.00488e-11	
8936	1.9846e-11	
8944	1.96483e-11	
8952	1.94555e-11	
8960	1.92674e-11	
8968	1.90837e-11	
8976	1.89044e-11	
8984	1.87292e-11	
8992	1.8558e-11	
9000	1.83906e-11	
9008	1.82269e-11	
9016	1.80668e-11	
9024	1.791e-11	
9032	1.77566e-11	
9040	1.76063e-11	
9048	1.74592e-11	
9056	1.73149e-11	
9064	1.71736e-11	
9072	1.7035e-11	
9080	1.68991e-11	
9088	1.67658e-11	
9096	1.66349e-11	
9104	1.65066e-11	
9112	1.63805e-11	
9120	1.62568e-11	
9128	1.61352e-11	
9136	1.60158e-11	
9144	1.58985e-11	
9152	1.57832e-11	
9160	1.56698e-11	
9168	1.55584e-11	
9176	1.54488e-11	
9184	1.5341e-11	
9192	1.52349e-11	
9200	1.51306e-11	
9208	1.50279e-11	
9216	1.49268e-11	
9224	1.48273e-11	
9232	1.47293e-11	
9240	1.46328e-11	
9248	1.45378e-11	
9256	1.44442e-11	
9264	1.43519e-11	
9272	1.4261e-11	
9280	1.41714e-11	
9288	1.4083e-11	
9296	1.3996e-11	
9304	1.39101e-11	
9312	1.38254e-11	
9320	1.37419e-11	
9328	1.36595e-11	
9336	1.35783e-11	
9344	1.34981e-11	
9352	1.3419e-11	
9360	1.33409e-11	
9368	1.32638e-11	
9376	1.31877e-11	
9384	1.31126e-11	
9392	1.30384e-11	
9400	1.29652e-11	
9408	1.28929e-11	
9416	1.28214e-11	
9424	1.27509e-11	
9432	1.26811e-11	
9440	1.26123e-11	
9448	1.25442e-11	
9456	1.24769e-11	
9464	1.24105e-11	
9472	1.23448e-11	
9480	1.22798e-11	
9488	1.22156e-11	
9496	1.21521e-11	
9504	1.20894e-11	
9512	1.20273e-11	
9520	1.19659e-11	
9528	1.19052e-11	
9536	1.18452e-11	
9544	1.17858e-11	
9552	1.17271e-11	
9560	1.16689e-11	
9568	1.16114e-11	
9576	1.15545e-11	
9584	1.14982e-11	
9592	1.14425e-11	
9600	1.13873e-11	
9608	1.13327e-11	
9616	1.12787e-11	
9624	1.12252e-11	
9632	1.11722e-11	
9640	1.11198e-11	
9648	1.10679e-11	
9656	1.10165e-11	
9664	1.09656e-11	
9672	1.09152e-11	
9680	1.08652e-11	
9688	1.08158e-11	
9696	1.07668e-11	
9704	1.07182e-11	
9712	1.06702e-11	
9720	1.06226e-11	
9728	1.05754e-11	
9736	1.05286e-11	
9744	1.04823e-11	
9752	1.04364e-11	
9760	1.03909e-11	
9768	1.03458e-11	
9776	1.03011e-11	
9784	1.02568e-11	
9792	1.02129e-11	
9800	1.01694e-11	
9808	1.01263e-11	
9816	1.00835e-11	
9824	1.00411e-11	
9832	9.9991e-12	
9840	9.95743e-12	
9848	9.9161e-12	
9856	9.87513e-12	
9864	9.83449e-12	
9872	9.7942e-12	
9880	9.75423e-12	
9888	9.7146e-12	
9896	9.67528e-12	
9904	9.63629e-12	
9912	9.59761e-12	
9920	9.55924e-12	
9928	9.52118e-12	
9936	9.48343e-12	
9944	9.44597e-12	
9952	9.4088e-12	
9960	9.37193e-12	
9968	9.33534e-12	
9976	9.29904e-12	
9984	9.26301e-12	
9992	9.22727e-12	
10000	9.19179e-12	
