sqrts	xsec	
8400	0	
8408	0	
8416	0	
8424	0	
8432	0	
8440	0	
8448	0	
8456	0	
8464	0	
8472	0	
8480	0	
8488	3.52122e-10	
8496	2.34775e-10	
8504	1.88063e-10	
8512	1.61246e-10	
8520	1.43293e-10	
8528	1.3019e-10	
8536	1.20081e-10	
8544	1.11972e-10	
8552	1.0528e-10	
8560	9.96318e-11	
8568	9.47813e-11	
8576	9.05558e-11	
8584	8.68308e-11	
8592	8.35143e-11	
8600	8.0536e-11	
8608	7.78419e-11	
8616	7.5389e-11	
8624	7.31431e-11	
8632	7.10763e-11	
8640	6.91659e-11	
8648	6.73928e-11	
8656	6.57413e-11	
8664	6.41978e-11	
8672	6.2751e-11	
8680	6.1391e-11	
8688	6.01095e-11	
8696	5.8899e-11	
8704	5.77531e-11	
8712	5.66662e-11	
8720	5.56334e-11	
8728	5.46502e-11	
8736	5.37127e-11	
8744	5.28175e-11	
8752	5.19613e-11	
8760	5.11415e-11	
8768	5.03555e-11	
8776	4.96009e-11	
8784	4.88757e-11	
8792	4.8178e-11	
8800	4.75061e-11	
8808	4.68584e-11	
8816	4.62335e-11	
8824	4.56299e-11	
8832	4.50466e-11	
8840	4.44824e-11	
8848	4.39362e-11	
8856	4.34071e-11	
8864	4.28942e-11	
8872	4.23967e-11	
8880	4.19138e-11	
8888	4.14448e-11	
8896	4.0989e-11	
8904	4.05457e-11	
8912	4.01146e-11	
8920	3.96949e-11	
8928	3.92861e-11	
8936	3.88878e-11	
8944	3.84996e-11	
8952	3.8121e-11	
8960	3.77516e-11	
8968	3.7391e-11	
8976	3.70389e-11	
8984	3.6695e-11	
8992	3.63589e-11	
9000	3.60303e-11	
9008	3.5709e-11	
9016	3.53947e-11	
9024	3.5087e-11	
9032	3.47859e-11	
9040	3.4491e-11	
9048	3.42022e-11	
9056	3.39192e-11	
9064	3.36418e-11	
9072	3.33699e-11	
9080	3.31032e-11	
9088	3.28416e-11	
9096	3.2585e-11	
9104	3.23331e-11	
9112	3.20858e-11	
9120	3.1843e-11	
9128	3.16046e-11	
9136	3.13704e-11	
9144	3.11402e-11	
9152	3.0914e-11	
9160	3.06917e-11	
9168	3.04731e-11	
9176	3.02582e-11	
9184	3.00468e-11	
9192	2.98388e-11	
9200	2.96341e-11	
9208	2.94328e-11	
9216	2.92345e-11	
9224	2.90394e-11	
9232	2.88472e-11	
9240	2.8658e-11	
9248	2.84716e-11	
9256	2.8288e-11	
9264	2.81071e-11	
9272	2.79289e-11	
9280	2.77532e-11	
9288	2.758e-11	
9296	2.74093e-11	
9304	2.7241e-11	
9312	2.7075e-11	
9320	2.69112e-11	
9328	2.67497e-11	
9336	2.65904e-11	
9344	2.64332e-11	
9352	2.62781e-11	
9360	2.6125e-11	
9368	2.5974e-11	
9376	2.58248e-11	
9384	2.56776e-11	
9392	2.55322e-11	
9400	2.53886e-11	
9408	2.52468e-11	
9416	2.51068e-11	
9424	2.49685e-11	
9432	2.48318e-11	
9440	2.46968e-11	
9448	2.45634e-11	
9456	2.44316e-11	
9464	2.43013e-11	
9472	2.41726e-11	
9480	2.40453e-11	
9488	2.39195e-11	
9496	2.37951e-11	
9504	2.36721e-11	
9512	2.35505e-11	
9520	2.34302e-11	
9528	2.33112e-11	
9536	2.31936e-11	
9544	2.30772e-11	
9552	2.2962e-11	
9560	2.28481e-11	
9568	2.27355e-11	
9576	2.26239e-11	
9584	2.25136e-11	
9592	2.24044e-11	
9600	2.22963e-11	
9608	2.21893e-11	
9616	2.20835e-11	
9624	2.19786e-11	
9632	2.18749e-11	
9640	2.17721e-11	
9648	2.16704e-11	
9656	2.15697e-11	
9664	2.14699e-11	
9672	2.13711e-11	
9680	2.12733e-11	
9688	2.11764e-11	
9696	2.10804e-11	
9704	2.09853e-11	
9712	2.08912e-11	
9720	2.07979e-11	
9728	2.07054e-11	
9736	2.06138e-11	
9744	2.05231e-11	
9752	2.04331e-11	
9760	2.0344e-11	
9768	2.02557e-11	
9776	2.01681e-11	
9784	2.00814e-11	
9792	1.99954e-11	
9800	1.99101e-11	
9808	1.98256e-11	
9816	1.97419e-11	
9824	1.96588e-11	
9832	1.95765e-11	
9840	1.94948e-11	
9848	1.94139e-11	
9856	1.93336e-11	
9864	1.9254e-11	
9872	1.91751e-11	
9880	1.90968e-11	
9888	1.90191e-11	
9896	1.89421e-11	
9904	1.88657e-11	
9912	1.879e-11	
9920	1.87148e-11	
9928	1.86403e-11	
9936	1.85663e-11	
9944	1.84929e-11	
9952	1.84201e-11	
9960	1.83479e-11	
9968	1.82762e-11	
9976	1.82051e-11	
9984	1.81346e-11	
9992	1.80645e-11	
10000	1.79951e-11	
