sqrts	xsec	
8400	0	
8408	0	
8416	0	
8424	0	
8432	0	
8440	0	
8448	0	
8456	0	
8464	0	
8472	0	
8480	0	
8488	7.95701e-38	
8496	5.52886e-38	
8504	4.4736e-38	
8512	3.84729e-38	
8520	3.42e-38	
8528	3.10415e-38	
8536	2.8581e-38	
8544	2.65924e-38	
8552	2.49402e-38	
8560	2.3538e-38	
8568	2.23279e-38	
8576	2.12689e-38	
8584	2.03315e-38	
8592	1.94937e-38	
8600	1.87387e-38	
8608	1.80534e-38	
8616	1.74276e-38	
8624	1.68529e-38	
8632	1.63225e-38	
8640	1.5831e-38	
8648	1.53736e-38	
8656	1.49466e-38	
8664	1.45466e-38	
8672	1.41708e-38	
8680	1.38169e-38	
8688	1.34826e-38	
8696	1.31663e-38	
8704	1.28663e-38	
8712	1.25813e-38	
8720	1.231e-38	
8728	1.20513e-38	
8736	1.18042e-38	
8744	1.1568e-38	
8752	1.13417e-38	
8760	1.11247e-38	
8768	1.09164e-38	
8776	1.07162e-38	
8784	1.05236e-38	
8792	1.03381e-38	
8800	1.01592e-38	
8808	9.98657e-39	
8816	9.81986e-39	
8824	9.65872e-39	
8832	9.50285e-39	
8840	9.35194e-39	
8848	9.20575e-39	
8856	9.06403e-39	
8864	8.92655e-39	
8872	8.79311e-39	
8880	8.66351e-39	
8888	8.53756e-39	
8896	8.4151e-39	
8904	8.29597e-39	
8912	8.18002e-39	
8920	8.0671e-39	
8928	7.9571e-39	
8936	7.84988e-39	
8944	7.74533e-39	
8952	7.64335e-39	
8960	7.54382e-39	
8968	7.44666e-39	
8976	7.35177e-39	
8984	7.25906e-39	
8992	7.16845e-39	
9000	7.07987e-39	
9008	6.99325e-39	
9016	6.9085e-39	
9024	6.82557e-39	
9032	6.74439e-39	
9040	6.66491e-39	
9048	6.58706e-39	
9056	6.5108e-39	
9064	6.43606e-39	
9072	6.36281e-39	
9080	6.29099e-39	
9088	6.22056e-39	
9096	6.15147e-39	
9104	6.0837e-39	
9112	6.01718e-39	
9120	5.9519e-39	
9128	5.8878e-39	
9136	5.82487e-39	
9144	5.76306e-39	
9152	5.70234e-39	
9160	5.64268e-39	
9168	5.58406e-39	
9176	5.52644e-39	
9184	5.4698e-39	
9192	5.41411e-39	
9200	5.35935e-39	
9208	5.30549e-39	
9216	5.25251e-39	
9224	5.20038e-39	
9232	5.14909e-39	
9240	5.09862e-39	
9248	5.04894e-39	
9256	5.00003e-39	
9264	4.95188e-39	
9272	4.90447e-39	
9280	4.85778e-39	
9288	4.81179e-39	
9296	4.76649e-39	
9304	4.72186e-39	
9312	4.67789e-39	
9320	4.63456e-39	
9328	4.59186e-39	
9336	4.54977e-39	
9344	4.50828e-39	
9352	4.46738e-39	
9360	4.42705e-39	
9368	4.38728e-39	
9376	4.34806e-39	
9384	4.30938e-39	
9392	4.27123e-39	
9400	4.2336e-39	
9408	4.19647e-39	
9416	4.15984e-39	
9424	4.12369e-39	
9432	4.08802e-39	
9440	4.05282e-39	
9448	4.01807e-39	
9456	3.98377e-39	
9464	3.94992e-39	
9472	3.91649e-39	
9480	3.88349e-39	
9488	3.8509e-39	
9496	3.81872e-39	
9504	3.78694e-39	
9512	3.75556e-39	
9520	3.72456e-39	
9528	3.69394e-39	
9536	3.66369e-39	
9544	3.6338e-39	
9552	3.60428e-39	
9560	3.5751e-39	
9568	3.54628e-39	
9576	3.51779e-39	
9584	3.48964e-39	
9592	3.46181e-39	
9600	3.43431e-39	
9608	3.40713e-39	
9616	3.38026e-39	
9624	3.35369e-39	
9632	3.32743e-39	
9640	3.30147e-39	
9648	3.2758e-39	
9656	3.25041e-39	
9664	3.22531e-39	
9672	3.20048e-39	
9680	3.17593e-39	
9688	3.15165e-39	
9696	3.12764e-39	
9704	3.10388e-39	
9712	3.08039e-39	
9720	3.05714e-39	
9728	3.03415e-39	
9736	3.0114e-39	
9744	2.98889e-39	
9752	2.96662e-39	
9760	2.94458e-39	
9768	2.92278e-39	
9776	2.9012e-39	
9784	2.87985e-39	
9792	2.85871e-39	
9800	2.8378e-39	
9808	2.8171e-39	
9816	2.79661e-39	
9824	2.77633e-39	
9832	2.75625e-39	
9840	2.73638e-39	
9848	2.71671e-39	
9856	2.69723e-39	
9864	2.67795e-39	
9872	2.65886e-39	
9880	2.63995e-39	
9888	2.62124e-39	
9896	2.6027e-39	
9904	2.58435e-39	
9912	2.56618e-39	
9920	2.54818e-39	
9928	2.53036e-39	
9936	2.5127e-39	
9944	2.49522e-39	
9952	2.4779e-39	
9960	2.46075e-39	
9968	2.44376e-39	
9976	2.42693e-39	
9984	2.41026e-39	
9992	2.39375e-39	
10000	2.37739e-39	
