sqrts	xsec	
8400	0	
8408	0	
8416	0	
8424	0	
8432	0	
8440	0	
8448	0	
8456	0	
8464	0	
8472	0	
8480	0	
8488	0	
8496	0	
8504	0	
8512	0	
8520	0	
8528	0	
8536	0	
8544	0	
8552	0	
8560	0	
8568	0	
8576	0	
8584	0	
8592	0	
8600	0	
8608	0	
8616	0	
8624	0	
8632	0	
8640	0	
8648	0	
8656	0	
8664	0	
8672	0	
8680	0	
8688	0	
8696	0	
8704	0	
8712	0	
8720	0	
8728	0	
8736	0	
8744	0	
8752	0	
8760	0	
8768	0	
8776	0	
8784	0	
8792	0	
8800	0	
8808	0	
8816	0	
8824	0	
8832	0	
8840	0	
8848	0	
8856	0	
8864	0	
8872	0	
8880	0	
8888	0	
8896	0	
8904	0	
8912	0	
8920	0	
8928	0	
8936	0	
8944	0	
8952	0	
8960	0	
8968	0	
8976	0	
8984	0	
8992	0	
9000	0	
9008	0	
9016	0	
9024	0	
9032	0	
9040	0	
9048	0	
9056	0	
9064	0	
9072	0	
9080	0	
9088	0	
9096	0	
9104	0	
9112	0	
9120	0	
9128	0	
9136	0	
9144	0	
9152	0	
9160	0	
9168	0	
9176	0	
9184	0	
9192	0	
9200	0	
9208	0	
9216	0	
9224	0	
9232	0	
9240	0	
9248	0	
9256	0	
9264	0	
9272	0	
9280	0	
9288	0	
9296	0	
9304	0	
9312	0	
9320	0	
9328	0	
9336	0	
9344	0	
9352	0	
9360	0	
9368	0	
9376	0	
9384	0	
9392	0	
9400	0	
9408	0	
9416	0	
9424	0	
9432	0	
9440	0	
9448	0	
9456	0	
9464	0	
9472	0	
9480	0	
9488	0	
9496	0	
9504	0	
9512	0	
9520	0	
9528	0	
9536	0	
9544	0	
9552	0	
9560	0	
9568	0	
9576	0	
9584	0	
9592	0	
9600	0	
9608	0	
9616	0	
9624	0	
9632	0	
9640	0	
9648	0	
9656	0	
9664	0	
9672	0	
9680	0	
9688	0	
9696	0	
9704	0	
9712	0	
9720	0	
9728	0	
9736	0	
9744	0	
9752	0	
9760	0	
9768	0	
9776	0	
9784	0	
9792	0	
9800	0	
9808	0	
9816	0	
9824	0	
9832	0	
9840	0	
9848	0	
9856	0	
9864	0	
9872	0	
9880	0	
9888	0	
9896	0	
9904	0	
9912	0	
9920	0	
9928	0	
9936	0	
9944	0	
9952	0	
9960	0	
9968	0	
9976	0	
9984	0	
9992	0	
10000	0	
