sqrts	xsec	
11000	0	
11069	0	
11138	0	
11207	0	
11276	0	
11345	0	
11414	0	
11483	0	
11552	0	
11621	0	
11690	0	
11759	0	
11828	0	
11897	0	
11966	0	
12035	0	
12104	8.49054e-09	
12173	5.90389e-09	
12242	4.77135e-09	
12311	4.09666e-09	
12380	3.63517e-09	
12449	3.29333e-09	
12518	3.02662e-09	
12587	2.81074e-09	
12656	2.63118e-09	
12725	2.47866e-09	
12794	2.3469e-09	
12863	2.23153e-09	
12932	2.12935e-09	
13001	2.03798e-09	
13070	1.95563e-09	
13139	1.88086e-09	
13208	1.81257e-09	
13277	1.74986e-09	
13346	1.69199e-09	
13415	1.63837e-09	
13484	1.58849e-09	
13553	1.54193e-09	
13622	1.49833e-09	
13691	1.45739e-09	
13760	1.41884e-09	
13829	1.38247e-09	
13898	1.34806e-09	
13967	1.31546e-09	
14036	1.2845e-09	
14105	1.25505e-09	
14174	1.22699e-09	
14243	1.20022e-09	
14312	1.17464e-09	
14381	1.15017e-09	
14450	1.12672e-09	
14519	1.10423e-09	
14588	1.08264e-09	
14657	1.06189e-09	
14726	1.04192e-09	
14795	1.02269e-09	
14864	1.00415e-09	
14933	9.86273e-10	
15002	9.69009e-10	
15071	9.52329e-10	
15140	9.36201e-10	
15209	9.20596e-10	
15278	9.05487e-10	
15347	8.90848e-10	
15416	8.76658e-10	
15485	8.62893e-10	
15554	8.49535e-10	
15623	8.36563e-10	
15692	8.2396e-10	
15761	8.11711e-10	
15830	7.99798e-10	
15899	7.88208e-10	
15968	7.76928e-10	
16037	7.65943e-10	
16106	7.55242e-10	
16175	7.44814e-10	
16244	7.34647e-10	
16313	7.24732e-10	
16382	7.15059e-10	
16451	7.05619e-10	
16520	6.96402e-10	
16589	6.87402e-10	
16658	6.78609e-10	
16727	6.70017e-10	
16796	6.61619e-10	
16865	6.53407e-10	
16934	6.45376e-10	
17003	6.37519e-10	
17072	6.29831e-10	
17141	6.22306e-10	
17210	6.14939e-10	
17279	6.07724e-10	
17348	6.00658e-10	
17417	5.93735e-10	
17486	5.8695e-10	
17555	5.803e-10	
17624	5.73781e-10	
17693	5.67389e-10	
17762	5.6112e-10	
17831	5.5497e-10	
17900	5.48936e-10	
17969	5.43015e-10	
18038	5.37203e-10	
18107	5.31498e-10	
18176	5.25897e-10	
18245	5.20396e-10	
18314	5.14993e-10	
18383	5.09686e-10	
18452	5.04472e-10	
18521	4.99348e-10	
18590	4.94312e-10	
18659	4.89363e-10	
18728	4.84497e-10	
18797	4.79712e-10	
18866	4.75007e-10	
18935	4.7038e-10	
19004	4.65829e-10	
19073	4.61351e-10	
19142	4.56945e-10	
19211	4.5261e-10	
19280	4.48344e-10	
19349	4.44145e-10	
19418	4.40011e-10	
19487	4.35941e-10	
19556	4.31934e-10	
19625	4.27989e-10	
19694	4.24103e-10	
19763	4.20275e-10	
19832	4.16505e-10	
19901	4.12791e-10	
19970	4.09131e-10	
20039	4.05525e-10	
20108	4.01972e-10	
20177	3.98469e-10	
20246	3.95017e-10	
20315	3.91615e-10	
20384	3.8826e-10	
20453	3.84952e-10	
20522	3.81691e-10	
20591	3.78475e-10	
20660	3.75304e-10	
20729	3.72175e-10	
20798	3.6909e-10	
20867	3.66046e-10	
20936	3.63043e-10	
21005	3.6008e-10	
21074	3.57157e-10	
21143	3.54272e-10	
21212	3.51426e-10	
21281	3.48616e-10	
21350	3.45843e-10	
21419	3.43105e-10	
21488	3.40403e-10	
21557	3.37735e-10	
21626	3.35102e-10	
21695	3.32501e-10	
21764	3.29933e-10	
21833	3.27397e-10	
21902	3.24892e-10	
21971	3.22419e-10	
22040	3.19975e-10	
22109	3.17562e-10	
22178	3.15178e-10	
22247	3.12823e-10	
22316	3.10496e-10	
22385	3.08196e-10	
22454	3.05925e-10	
22523	3.0368e-10	
22592	3.01461e-10	
22661	2.99269e-10	
22730	2.97102e-10	
22799	2.9496e-10	
22868	2.92843e-10	
22937	2.9075e-10	
23006	2.88681e-10	
23075	2.86636e-10	
23144	2.84613e-10	
23213	2.82614e-10	
23282	2.80637e-10	
23351	2.78682e-10	
23420	2.76748e-10	
23489	2.74837e-10	
23558	2.72946e-10	
23627	2.71075e-10	
23696	2.69226e-10	
23765	2.67396e-10	
23834	2.65586e-10	
23903	2.63795e-10	
23972	2.62024e-10	
24041	2.60272e-10	
24110	2.58538e-10	
24179	2.56822e-10	
24248	2.55125e-10	
24317	2.53445e-10	
24386	2.51783e-10	
24455	2.50138e-10	
24524	2.4851e-10	
24593	2.46899e-10	
24662	2.45304e-10	
24731	2.43726e-10	
24800	2.42163e-10	
24869	2.40617e-10	
