sqrts	xsec	
11000	-2.30017e-29	
11089	-2.20841e-29	
11178	-2.36425e-29	
11267	-2.65752e-29	
11356	-2.71722e-29	
11445	-2.49936e-29	
11534	-2.62163e-29	
11623	-2.3787e-29	
11712	-2.72421e-29	
11801	5.02735e-30	
11890	-1.28646e-29	
11979	-2.21399e-29	
12068	-2.66626e-29	
12157	-3.17965e-29	
12246	-2.71537e-29	
12335	-4.34608e-29	
12424	-2.28336e-29	
12513	-1.0406e-29	
12602	2.16094e-28	
12691	-1.08564e-29	
12780	1.89989e-29	
12869	7.97372e-29	
12958	-1.16938e-30	
13047	4.40771e-30	
13136	1.40753e-29	
13225	-3.27035e-30	
13314	4.841e-29	
13403	1.38109e-29	
13492	-1.00495e-29	
13581	2.16506e-29	
13670	2.57464e-29	
13759	3.25827e-29	
13848	3.76535e-29	
13937	1.96401e-29	
14026	-1.11695e-29	
14115	2.68359e-29	
14204	6.65116e-30	
14293	7.61331e-31	
14382	-1.9449e-29	
14471	-1.02085e-29	
14560	-3.16037e-29	
14649	-3.73913e-29	
14738	-4.50439e-29	
14827	-5.51785e-29	
14916	-4.66728e-29	
15005	-5.28877e-29	
15094	-8.45026e-29	
15183	-2.78928e-29	
15272	-6.88094e-29	
15361	-1.0824e-28	
15450	-4.51335e-29	
15539	-4.03509e-29	
15628	-4.86834e-29	
15717	-1.69167e-29	
15806	-7.5086e-29	
15895	-4.37347e-29	
15984	-6.05486e-29	
16073	-6.33381e-29	
16162	-4.081e-29	
16251	-5.12007e-29	
16340	-9.06301e-29	
16429	-7.80454e-29	
16518	-8.10033e-29	
16607	-1.38139e-29	
16696	-1.01188e-28	
16785	-5.52278e-29	
16874	-8.2195e-30	
16963	-4.4645e-29	
17052	0	
17141	3.14605e-29	
17230	-4.97722e-29	
17319	-4.20564e-29	
17408	-2.64623e-29	
17497	1.39297e-29	
17586	-4.69e-29	
17675	-3.68335e-29	
17764	-6.04894e-29	
17853	-1.77854e-30	
17942	-1.30835e-29	
18031	2.99601e-29	
18120	-2.45328e-29	
18209	-4.20549e-29	
18298	-1.02736e-29	
18387	1.08125e-29	
18476	-9.90041e-31	
18565	-1.35754e-28	
18654	3.64162e-30	
18743	-7.98385e-30	
18832	1.19772e-29	
18921	7.03597e-29	
19010	-1.17468e-29	
19099	1.17717e-28	
19188	1.22019e-29	
19277	5.35804e-30	
19366	-1.22283e-30	
19455	3.19767e-29	
19544	3.43004e-30	
19633	2.73926e-30	
19722	1.08598e-29	
19811	-7.79639e-30	
19900	2.06191e-29	
19989	5.14602e-29	
20078	7.58066e-29	
20167	4.87387e-30	
20256	3.32222e-29	
20345	-5.6317e-30	
20434	4.078e-29	
20523	0	
20612	2.8803e-29	
20701	8.98637e-29	
20790	1.72889e-28	
20879	6.61444e-29	
20968	5.12338e-29	
21057	6.43734e-29	
21146	1.50947e-29	
21235	5.33654e-29	
21324	9.80602e-29	
21413	8.05418e-29	
21502	-4.05197e-29	
21591	6.2292e-30	
21680	6.60812e-29	
21769	8.55997e-29	
21858	3.92948e-29	
21947	7.80746e-29	
22036	1.69903e-28	
22125	1.74381e-29	
22214	3.7386e-29	
22303	5.63956e-29	
22392	3.92519e-29	
22481	6.18122e-29	
22570	-6.96184e-28	
22659	7.70395e-29	
22748	6.11915e-29	
22837	6.95725e-29	
22926	5.53979e-29	
23015	7.4192e-29	
23104	4.44315e-29	
23193	7.24155e-29	
23282	6.26691e-29	
23371	4.86627e-29	
23460	5.68546e-29	
23549	3.06492e-29	
23638	7.11169e-29	
23727	6.17139e-29	
23816	5.70977e-29	
23905	7.23897e-29	
23994	5.64349e-29	
24083	9.90992e-29	
24172	5.57991e-29	
24261	7.08217e-29	
24350	5.5968e-29	
24439	7.5004e-29	
24528	5.58015e-29	
24617	6.55566e-29	
24706	2.00511e-28	
24795	6.53543e-29	
24884	8.42823e-29	
24973	-1.22992e-28	
25062	7.53499e-29	
25151	8.0986e-29	
25240	7.1391e-29	
25329	3.89781e-29	
25418	8.27199e-29	
25507	5.44611e-29	
25596	5.85926e-29	
25685	0	
25774	7.44424e-29	
25863	6.77983e-29	
25952	2.91367e-29	
26041	5.24956e-29	
26130	6.86474e-29	
26219	5.38183e-29	
26308	6.75428e-29	
26397	1.16323e-28	
26486	6.89523e-29	
26575	8.31066e-29	
26664	6.38105e-29	
26753	5.63238e-29	
26842	5.59098e-29	
26931	5.90792e-29	
27020	7.60124e-29	
27109	4.87244e-29	
27198	-1.52747e-28	
27287	6.80874e-29	
27376	6.13217e-29	
27465	6.41674e-29	
27554	7.07568e-29	
27643	3.02177e-29	
27732	4.3531e-29	
27821	6.19461e-29	
27910	5.33149e-29	
27999	-5.07612e-29	
28088	0	
28177	5.84088e-29	
28266	-1.29635e-28	
28355	4.91377e-29	
28444	3.5521e-29	
28533	8.60036e-29	
28622	3.95198e-29	
28711	2.83394e-29	
28800	7.88501e-29	
28889	2.97891e-29	
28978	3.81907e-29	
29067	3.34071e-29	
29156	1.32345e-29	
29245	2.36499e-29	
29334	2.21218e-29	
29423	6.24406e-30	
29512	3.70058e-29	
29601	1.07247e-29	
29690	2.41275e-29	
29779	1.42214e-29	
29868	3.61353e-29	
29957	6.98485e-30	
30046	2.328e-29	
30135	3.75068e-29	
30224	1.9374e-29	
30313	1.07524e-28	
30402	7.63683e-30	
30491	1.56917e-29	
30580	2.6138e-30	
30669	2.12326e-29	
30758	-1.55464e-29	
30847	-1.58781e-30	
30936	9.34026e-29	
31025	1.6585e-29	
31114	1.27169e-29	
31203	2.60085e-29	
31292	2.25962e-30	
31381	8.13776e-30	
31470	1.02864e-29	
31559	1.08083e-29	
31648	5.14314e-29	
31737	5.99651e-30	
31826	-1.7417e-30	
31915	7.45449e-30	
32004	1.7329e-29	
32093	-8.90552e-29	
32182	1.13929e-29	
32271	2.72015e-29	
32360	-1.41056e-29	
32449	3.01765e-29	
32538	-1.07762e-29	
32627	1.11502e-29	
32716	-1.08739e-29	
32805	-5.88491e-30	
32894	2.07711e-29	
32983	1.91551e-29	
33072	1.33115e-29	
33161	1.17229e-29	
33250	1.13423e-28	
33339	5.30962e-30	
33428	1.60004e-29	
33517	8.91564e-30	
33606	-5.99437e-30	
33695	8.04503e-31	
33784	2.41232e-30	
33873	3.08235e-29	
33962	-2.97487e-30	
34051	3.39667e-29	
34140	9.72675e-30	
34229	-1.37322e-29	
34318	8.31343e-30	
34407	-3.58156e-29	
34496	2.34147e-29	
34585	3.10708e-29	
34674	1.96293e-29	
34763	3.16163e-29	
34852	1.38118e-29	
34941	1.95772e-29	
35030	-1.32973e-28	
35119	3.16522e-29	
35208	3.28568e-29	
35297	2.15433e-29	
35386	1.80278e-29	
35475	5.20602e-30	
35564	1.60631e-29	
35653	1.4365e-29	
35742	1.99442e-29	
35831	1.5039e-29	
35920	3.25595e-30	
36009	2.82998e-29	
36098	3.54071e-29	
36187	1.88885e-29	
36276	2.43821e-29	
36365	-5.95262e-30	
36454	1.12582e-29	
36543	3.67818e-29	
36632	1.69172e-29	
36721	3.05261e-29	
36810	1.39161e-29	
36899	1.80627e-29	
36988	1.87952e-29	
37077	0	
37166	6.93713e-30	
37255	-1.0323e-30	
37344	1.3614e-29	
37433	3.82992e-29	
37522	-7.08688e-30	
37611	4.359e-29	
37700	2.38082e-29	
37789	9.59204e-30	
37878	-3.195e-29	
37967	3.04963e-29	
38056	3.21598e-29	
38145	-2.01069e-29	
38234	2.28334e-29	
38323	-8.40631e-30	
38412	4.70267e-30	
38501	-2.01001e-29	
38590	1.64202e-29	
38679	1.15325e-29	
38768	1.56371e-29	
38857	-7.80037e-29	
38946	1.12619e-29	
39035	7.3861e-30	
