sqrts	xsec	
1	0	
1.99917	0	
2.99833	0	
3.9975	0	
4.99667	0	
5.99583	0	
6.995	0	
7.99417	0	
8.99333	0	
9.9925	0	
10.9917	0	
11.9908	0	
12.99	0	
13.9892	0	
14.9883	0	
15.9875	0	
16.9867	0	
17.9858	0	
18.985	0	
19.9842	0	
20.9833	0	
21.9825	0	
22.9817	0	
23.9808	0	
24.98	0	
25.9792	0	
26.9783	0	
27.9775	0	
28.9767	0	
29.9758	0	
30.975	0	
31.9742	0	
32.9733	0	
33.9725	0	
34.9717	0	
35.9708	0	
36.97	0	
37.9692	0	
38.9683	0	
39.9675	0	
40.9667	0	
41.9658	0	
42.965	0	
43.9642	0	
44.9633	0	
45.9625	0	
46.9617	0	
47.9608	0	
48.96	0	
49.9592	0	
50.9583	0	
51.9575	0	
52.9567	0	
53.9558	0	
54.955	0	
55.9542	0	
56.9533	0	
57.9525	0	
58.9517	0	
59.9508	0	
60.95	0	
61.9492	0	
62.9483	0	
63.9475	0	
64.9467	0	
65.9458	0	
66.945	0	
67.9442	0	
68.9433	0	
69.9425	0	
70.9417	0	
71.9408	0	
72.94	0	
73.9392	0	
74.9383	0	
75.9375	0	
76.9367	0	
77.9358	0	
78.935	0	
79.9342	0	
80.9333	0	
81.9325	0	
82.9317	0	
83.9308	0	
84.93	0	
85.9292	0	
86.9283	0	
87.9275	0	
88.9267	0	
89.9258	0	
90.925	0	
91.9242	0	
92.9233	0	
93.9225	0	
94.9217	0	
95.9208	0	
96.92	0	
97.9192	0	
98.9183	0	
99.9175	0	
100.917	0	
101.916	0	
102.915	0	
103.914	0	
104.913	0	
105.913	0	
106.912	0	
107.911	0	
108.91	0	
109.909	0	
110.908	0	
111.908	0	
112.907	0	
113.906	0	
114.905	0	
115.904	0	
116.903	0	
117.903	0	
118.902	0	
119.901	0	
120.9	0	
121.899	0	
122.898	0	
123.898	0	
124.897	0	
125.896	0	
126.895	0	
127.894	0	
128.893	0	
129.893	0	
130.892	0	
131.891	0	
132.89	0	
133.889	0	
134.888	0	
135.888	0	
136.887	0	
137.886	0	
138.885	0	
139.884	0	
140.883	0	
141.883	0	
142.882	0	
143.881	0	
144.88	0	
145.879	0	
146.878	0	
147.878	0	
148.877	0	
149.876	0	
150.875	0	
151.874	0	
152.873	0	
153.873	0	
154.872	0	
155.871	0	
156.87	0	
157.869	0	
158.868	0	
159.868	0	
160.867	0	
161.866	0	
162.865	0	
163.864	0	
164.863	0	
165.863	0	
166.862	0	
167.861	0	
168.86	0	
169.859	0	
170.858	0	
171.858	0	
172.857	0	
173.856	0	
174.855	0	
175.854	0	
176.853	0	
177.853	0	
178.852	0	
179.851	0	
180.85	0	
181.849	0	
182.848	0	
183.848	0	
184.847	0	
185.846	0	
186.845	0	
187.844	0	
188.843	0	
189.843	0	
190.842	0	
191.841	0	
192.84	0	
193.839	0	
194.838	0	
195.838	0	
196.837	0	
197.836	0	
198.835	0	
199.834	0	
200.833	0	
201.833	0	
202.832	0	
203.831	0	
204.83	0	
205.829	0	
206.828	0	
207.828	0	
208.827	0	
209.826	0	
210.825	0	
211.824	0	
212.823	0	
213.823	0	
214.822	0	
215.821	0	
216.82	0	
217.819	0	
218.818	0	
219.818	0	
220.817	0	
221.816	0	
222.815	0	
223.814	0	
224.813	0	
225.813	0	
226.812	0	
227.811	0	
228.81	0	
229.809	0	
230.808	0	
231.808	0	
232.807	0	
233.806	0	
234.805	0	
235.804	0	
236.803	0	
237.803	0	
238.802	0	
239.801	0	
240.8	0	
241.799	0	
242.798	0	
243.798	0	
244.797	0	
245.796	0	
246.795	0	
247.794	0	
248.793	0	
249.793	0	
250.792	0	
251.791	0	
252.79	0	
253.789	0	
254.788	0	
255.788	0	
256.787	0	
257.786	0	
258.785	0	
259.784	0	
260.783	0	
261.783	0	
262.782	0	
263.781	0	
264.78	0	
265.779	0	
266.778	0	
267.778	0	
268.777	0	
269.776	0	
270.775	0	
271.774	0	
272.773	0	
273.773	0	
274.772	0	
275.771	0	
276.77	0	
277.769	0	
278.768	0	
279.768	0	
280.767	0	
281.766	0	
282.765	0	
283.764	0	
284.763	0	
285.763	0	
286.762	0	
287.761	0	
288.76	0	
289.759	0	
290.758	0	
291.758	0	
292.757	0	
293.756	0	
294.755	0	
295.754	0	
296.753	0	
297.753	0	
298.752	0	
299.751	0	
300.75	0	
301.749	0	
302.748	0	
303.748	0	
304.747	0	
305.746	0	
306.745	0	
307.744	0	
308.743	0	
309.743	0	
310.742	1.78335e-06	
311.741	8.52136e-07	
312.74	6.43412e-07	
313.739	5.39905e-07	
314.738	4.75496e-07	
315.738	4.30596e-07	
316.737	3.97065e-07	
317.736	3.70837e-07	
318.735	3.49624e-07	
319.734	3.32029e-07	
320.733	3.17142e-07	
321.733	3.04346e-07	
322.732	2.93201e-07	
323.731	2.83389e-07	
324.73	2.74669e-07	
325.729	2.66857e-07	
326.728	2.5981e-07	
327.728	2.53415e-07	
328.727	2.47578e-07	
329.726	2.42227e-07	
330.725	2.373e-07	
331.724	2.32744e-07	
332.723	2.28518e-07	
333.723	2.24585e-07	
334.722	2.20913e-07	
335.721	2.17476e-07	
336.72	2.14251e-07	
337.719	2.11218e-07	
338.718	2.0836e-07	
339.718	2.0566e-07	
340.717	2.03106e-07	
341.716	2.00685e-07	
342.715	1.98386e-07	
343.714	1.96201e-07	
344.713	1.9412e-07	
345.713	1.92136e-07	
346.712	1.90243e-07	
347.711	1.88432e-07	
348.71	1.867e-07	
349.709	1.8504e-07	
350.708	1.83449e-07	
351.708	1.81921e-07	
352.707	1.80453e-07	
353.706	1.79041e-07	
354.705	1.77681e-07	
355.704	1.76372e-07	
356.703	1.7511e-07	
357.703	1.73892e-07	
358.702	1.72715e-07	
359.701	1.71579e-07	
360.7	1.7048e-07	
361.699	1.69417e-07	
362.698	1.68388e-07	
363.698	1.6739e-07	
364.697	1.66424e-07	
365.696	1.65486e-07	
366.695	1.64577e-07	
367.694	1.63694e-07	
368.693	1.62836e-07	
369.693	1.62002e-07	
370.692	1.61191e-07	
371.691	1.60402e-07	
372.69	1.59635e-07	
373.689	1.58887e-07	
374.688	1.58159e-07	
375.688	1.5745e-07	
376.687	1.56758e-07	
377.686	1.56084e-07	
378.685	1.55426e-07	
379.684	1.54783e-07	
380.683	1.54156e-07	
381.683	1.53544e-07	
382.682	1.52945e-07	
383.681	1.52361e-07	
384.68	1.51789e-07	
385.679	1.51229e-07	
386.678	1.50682e-07	
387.678	1.50147e-07	
388.677	1.49622e-07	
389.676	1.49109e-07	
390.675	1.48606e-07	
391.674	1.48114e-07	
392.673	1.47631e-07	
393.673	1.47157e-07	
394.672	1.46693e-07	
395.671	1.46238e-07	
396.67	1.45791e-07	
397.669	1.45353e-07	
398.668	1.44923e-07	
399.668	1.445e-07	
400.667	1.44085e-07	
401.666	1.43678e-07	
402.665	1.43277e-07	
403.664	1.42884e-07	
404.663	1.42497e-07	
405.663	1.42117e-07	
406.662	1.41743e-07	
407.661	1.41375e-07	
408.66	1.41013e-07	
409.659	1.40657e-07	
410.658	1.40306e-07	
411.658	1.39961e-07	
412.657	1.39621e-07	
413.656	1.39287e-07	
414.655	1.38957e-07	
415.654	1.38632e-07	
416.653	1.38312e-07	
417.653	1.37997e-07	
418.652	1.37686e-07	
419.651	1.37379e-07	
420.65	1.37077e-07	
421.649	1.36779e-07	
422.648	1.36485e-07	
423.648	1.36195e-07	
424.647	1.35909e-07	
425.646	1.35626e-07	
426.645	1.35347e-07	
427.644	1.35072e-07	
428.643	1.348e-07	
429.643	1.34531e-07	
430.642	1.34266e-07	
431.641	1.34004e-07	
432.64	1.33745e-07	
433.639	1.3349e-07	
434.638	1.33237e-07	
435.638	1.32987e-07	
436.637	1.3274e-07	
437.636	1.32496e-07	
438.635	1.32254e-07	
439.634	1.32015e-07	
440.633	1.31779e-07	
441.633	1.31545e-07	
442.632	1.31314e-07	
443.631	1.31085e-07	
444.63	1.30859e-07	
445.629	1.30634e-07	
446.628	1.30412e-07	
447.628	1.30193e-07	
448.627	1.29975e-07	
449.626	1.2976e-07	
450.625	1.29546e-07	
451.624	1.29335e-07	
452.623	1.29126e-07	
453.623	1.28918e-07	
454.622	1.28713e-07	
455.621	1.28509e-07	
456.62	1.28307e-07	
457.619	1.28107e-07	
458.618	1.27908e-07	
459.618	1.27712e-07	
460.617	1.27516e-07	
461.616	1.27323e-07	
462.615	1.27131e-07	
463.614	1.26941e-07	
464.613	1.26752e-07	
465.613	1.26565e-07	
466.612	1.26379e-07	
467.611	1.26195e-07	
468.61	1.26012e-07	
469.609	1.2583e-07	
470.608	1.2565e-07	
471.608	1.25471e-07	
472.607	1.25294e-07	
473.606	1.25117e-07	
474.605	1.24942e-07	
475.604	1.24768e-07	
476.603	1.24596e-07	
477.603	1.24424e-07	
478.602	1.24254e-07	
479.601	1.24085e-07	
480.6	1.23916e-07	
481.599	1.23749e-07	
482.598	1.23584e-07	
483.598	1.23419e-07	
484.597	1.23255e-07	
485.596	1.23092e-07	
486.595	1.2293e-07	
487.594	1.22769e-07	
488.593	1.22609e-07	
489.593	1.2245e-07	
490.592	1.22292e-07	
491.591	1.22135e-07	
492.59	1.21978e-07	
493.589	1.21823e-07	
494.588	1.21668e-07	
495.588	1.21515e-07	
