sqrts	xsec	
1	0	
1.9999	0	
2.9998	0	
3.9997	0	
4.9996	0	
5.9995	0	
6.9994	0	
7.9993	0	
8.9992	0	
9.9991	0	
10.999	0	
11.9989	0	
12.9988	0	
13.9987	0	
14.9986	0	
15.9985	0	
16.9984	0	
17.9983	0	
18.9982	0	
19.9981	0	
20.998	0	
21.9979	0	
22.9978	0	
23.9977	0	
24.9976	0	
25.9975	0	
26.9974	0	
27.9973	0	
28.9972	0	
29.9971	0	
30.997	0	
31.9969	0	
32.9968	0	
33.9967	0	
34.9966	0	
35.9965	0	
36.9964	0	
37.9963	0	
38.9962	0	
39.9961	0	
40.996	0	
41.9959	0	
42.9958	0	
43.9957	0	
44.9956	0	
45.9955	0	
46.9954	0	
47.9953	0	
48.9952	0	
49.9951	0	
50.995	0	
51.9949	0	
52.9948	0	
53.9947	0	
54.9946	0	
55.9945	0	
56.9944	0	
57.9943	0	
58.9942	0	
59.9941	0	
60.994	0	
61.9939	0	
62.9938	0	
63.9937	0	
64.9936	0	
65.9935	0	
66.9934	0	
67.9933	0	
68.9932	0	
69.9931	0	
70.993	0	
71.9929	0	
72.9928	0	
73.9927	0	
74.9926	0	
75.9925	0	
76.9924	0	
77.9923	0	
78.9922	0	
79.9921	0	
80.992	0	
81.9919	0	
82.9918	0	
83.9917	0	
84.9916	0	
85.9915	0	
86.9914	0	
87.9913	0	
88.9912	0	
89.9911	0	
90.991	0	
91.9909	0	
92.9908	0	
93.9907	0	
94.9906	0	
95.9905	0	
96.9904	0	
97.9903	0	
98.9902	0	
99.9901	0	
100.99	0	
101.99	0	
102.99	0	
103.99	0	
104.99	0	
105.989	0	
106.989	0	
107.989	0	
108.989	0	
109.989	0	
110.989	0	
111.989	0	
112.989	0	
113.989	0	
114.989	0	
115.988	0	
116.988	0	
117.988	0	
118.988	0	
119.988	0	
120.988	0	
121.988	0	
122.988	0	
123.988	0	
124.988	0	
125.987	0	
126.987	0	
127.987	0	
128.987	0	
129.987	0	
130.987	0	
131.987	0	
132.987	0	
133.987	0	
134.987	0	
135.986	0	
136.986	0	
137.986	0	
138.986	0	
139.986	0	
140.986	0	
141.986	0	
142.986	0	
143.986	0	
144.986	0	
145.985	0	
146.985	0	
147.985	0	
148.985	0	
149.985	0	
150.985	0	
151.985	0	
152.985	0	
153.985	0	
154.985	0	
155.984	0	
156.984	0	
157.984	0	
158.984	0	
159.984	0	
160.984	0	
161.984	0	
162.984	0	
163.984	0	
164.984	0	
165.983	0	
166.983	0	
167.983	0	
168.983	0	
169.983	0	
170.983	0	
171.983	0	
172.983	0	
173.983	0	
174.983	0	
175.982	0	
176.982	0	
177.982	0	
178.982	0	
179.982	0	
180.982	0	
181.982	0	
182.982	0	
183.982	0	
184.982	0	
185.981	0	
186.981	0	
187.981	0	
188.981	0	
189.981	0	
190.981	0	
191.981	0	
192.981	0	
193.981	0	
194.981	0	
195.98	0	
196.98	0	
197.98	0	
198.98	0	
199.98	0	
200.98	0	
201.98	0	
202.98	0	
203.98	0	
204.98	0	
205.979	0	
206.979	0	
207.979	0	
208.979	0	
209.979	0	
210.979	0	
211.979	0	
212.979	0	
213.979	0	
214.979	0	
215.978	0	
216.978	0	
217.978	0	
218.978	0	
219.978	0	
220.978	0	
221.978	0	
222.978	0	
223.978	0	
224.978	0	
225.977	0	
226.977	0	
227.977	0	
228.977	0	
229.977	0	
230.977	0	
231.977	0	
232.977	0	
233.977	0	
234.977	0	
235.976	0	
236.976	0	
237.976	0	
238.976	0	
239.976	0	
240.976	0	
241.976	0	
242.976	0	
243.976	0	
244.976	0	
245.975	0	
246.975	0	
247.975	0	
248.975	0	
249.975	0	
250.975	0	
251.975	0	
252.975	0	
253.975	0	
254.975	0	
255.974	0	
256.974	0	
257.974	0	
258.974	0	
259.974	0	
260.974	0	
261.974	0	
262.974	0	
263.974	0	
264.974	0	
265.973	0	
266.973	0	
267.973	0	
268.973	0	
269.973	0	
270.973	0	
271.973	0	
272.973	0	
273.973	0	
274.973	0	
275.972	0	
276.972	0	
277.972	0	
278.972	0	
279.972	0	
280.972	0	
281.972	0	
282.972	0	
283.972	0	
284.972	0	
285.971	0	
286.971	0	
287.971	0	
288.971	0	
289.971	0	
290.971	0	
291.971	0	
292.971	0	
293.971	0	
294.971	0	
295.971	0	
296.97	0	
297.97	0	
298.97	0	
299.97	0	
300.97	0	
301.97	0	
302.97	0	
303.97	0	
304.97	0	
305.97	0	
306.969	0	
307.969	0	
308.969	0	
309.969	0	
310.969	1.64379e-06	
311.969	8.31737e-07	
312.969	6.32964e-07	
313.969	5.32825e-07	
314.969	4.70078e-07	
315.969	4.26166e-07	
316.968	3.93291e-07	
317.968	3.67531e-07	
318.968	3.46669e-07	
319.968	3.29349e-07	
320.968	3.14684e-07	
321.968	3.02071e-07	
322.968	2.9108e-07	
323.968	2.814e-07	
324.968	2.72794e-07	
325.968	2.65082e-07	
326.967	2.58124e-07	
327.967	2.51807e-07	
328.967	2.46042e-07	
329.967	2.40755e-07	
330.967	2.35886e-07	
331.967	2.31384e-07	
332.967	2.27207e-07	
333.967	2.23319e-07	
334.967	2.1969e-07	
335.967	2.16292e-07	
336.966	2.13104e-07	
337.966	2.10105e-07	
338.966	2.07279e-07	
339.966	2.0461e-07	
340.966	2.02084e-07	
341.966	1.9969e-07	
342.966	1.97417e-07	
343.966	1.95256e-07	
344.966	1.93198e-07	
345.966	1.91236e-07	
346.965	1.89363e-07	
347.965	1.87572e-07	
348.965	1.85859e-07	
349.965	1.84217e-07	
350.965	1.82643e-07	
351.965	1.81132e-07	
352.965	1.7968e-07	
353.965	1.78283e-07	
354.965	1.76939e-07	
355.965	1.75644e-07	
356.964	1.74395e-07	
357.964	1.7319e-07	
358.964	1.72027e-07	
359.964	1.70903e-07	
360.964	1.69816e-07	
361.964	1.68764e-07	
362.964	1.67746e-07	
363.964	1.66759e-07	
364.964	1.65803e-07	
365.964	1.64876e-07	
366.963	1.63976e-07	
367.963	1.63103e-07	
368.963	1.62254e-07	
369.963	1.61429e-07	
370.963	1.60627e-07	
371.963	1.59847e-07	
372.963	1.59088e-07	
373.963	1.58349e-07	
374.963	1.57629e-07	
375.963	1.56927e-07	
376.962	1.56243e-07	
377.962	1.55576e-07	
378.962	1.54925e-07	
379.962	1.5429e-07	
380.962	1.53669e-07	
381.962	1.53064e-07	
382.962	1.52472e-07	
383.962	1.51893e-07	
384.962	1.51327e-07	
385.962	1.50774e-07	
386.961	1.50233e-07	
387.961	1.49703e-07	
388.961	1.49185e-07	
389.961	1.48677e-07	
390.961	1.4818e-07	
391.961	1.47693e-07	
392.961	1.47215e-07	
393.961	1.46747e-07	
394.961	1.46288e-07	
395.961	1.45837e-07	
396.96	1.45396e-07	
397.96	1.44962e-07	
398.96	1.44537e-07	
399.96	1.44119e-07	
400.96	1.43708e-07	
401.96	1.43305e-07	
402.96	1.42909e-07	
403.96	1.4252e-07	
404.96	1.42137e-07	
405.96	1.41761e-07	
406.959	1.41391e-07	
407.959	1.41027e-07	
408.959	1.40669e-07	
409.959	1.40317e-07	
410.959	1.3997e-07	
411.959	1.39629e-07	
412.959	1.39293e-07	
413.959	1.38962e-07	
414.959	1.38636e-07	
415.959	1.38315e-07	
416.958	1.37998e-07	
417.958	1.37686e-07	
418.958	1.37379e-07	
419.958	1.37076e-07	
420.958	1.36777e-07	
421.958	1.36482e-07	
422.958	1.36191e-07	
423.958	1.35904e-07	
424.958	1.35621e-07	
425.958	1.35342e-07	
426.957	1.35066e-07	
427.957	1.34793e-07	
428.957	1.34524e-07	
429.957	1.34259e-07	
430.957	1.33997e-07	
431.957	1.33737e-07	
432.957	1.33481e-07	
433.957	1.33228e-07	
434.957	1.32978e-07	
435.957	1.32731e-07	
436.956	1.32487e-07	
437.956	1.32245e-07	
438.956	1.32006e-07	
439.956	1.3177e-07	
440.956	1.31536e-07	
441.956	1.31305e-07	
442.956	1.31076e-07	
443.956	1.3085e-07	
444.956	1.30626e-07	
445.956	1.30404e-07	
446.955	1.30184e-07	
447.955	1.29967e-07	
448.955	1.29752e-07	
449.955	1.29539e-07	
450.955	1.29328e-07	
451.955	1.29118e-07	
452.955	1.28911e-07	
453.955	1.28706e-07	
454.955	1.28503e-07	
455.955	1.28301e-07	
456.954	1.28101e-07	
457.954	1.27903e-07	
458.954	1.27707e-07	
459.954	1.27512e-07	
460.954	1.27319e-07	
461.954	1.27128e-07	
462.954	1.26938e-07	
463.954	1.2675e-07	
464.954	1.26563e-07	
465.954	1.26378e-07	
466.953	1.26194e-07	
467.953	1.26011e-07	
468.953	1.2583e-07	
469.953	1.25651e-07	
470.953	1.25472e-07	
471.953	1.25295e-07	
472.953	1.2512e-07	
473.953	1.24945e-07	
474.953	1.24772e-07	
475.953	1.246e-07	
476.952	1.24429e-07	
477.952	1.24259e-07	
478.952	1.24091e-07	
479.952	1.23923e-07	
480.952	1.23757e-07	
481.952	1.23591e-07	
482.952	1.23427e-07	
483.952	1.23264e-07	
484.952	1.23102e-07	
485.952	1.2294e-07	
486.951	1.2278e-07	
487.951	1.22621e-07	
488.951	1.22463e-07	
489.951	1.22305e-07	
490.951	1.22149e-07	
491.951	1.21993e-07	
492.951	1.21838e-07	
493.951	1.21684e-07	
494.951	1.21531e-07	
495.951	1.21379e-07	
496.95	1.21227e-07	
497.95	1.21077e-07	
498.95	1.20927e-07	
499.95	3.46322e-06	
500.95	1.49659e-06	
501.95	1.13535e-06	
502.95	9.60192e-07	
503.95	8.5174e-07	
504.95	7.76083e-07	
505.95	7.19394e-07	
506.949	6.74841e-07	
507.949	6.38607e-07	
508.949	6.08369e-07	
509.949	5.82624e-07	
510.949	5.60348e-07	
511.949	5.40818e-07	
512.949	5.23504e-07	
513.949	5.08013e-07	
514.949	4.94039e-07	
515.949	4.81347e-07	
516.948	4.69748e-07	
517.948	4.59092e-07	
518.948	4.49254e-07	
519.948	4.40133e-07	
520.948	4.31644e-07	
521.948	4.23715e-07	
522.948	4.16287e-07	
523.948	4.09306e-07	
524.948	4.02729e-07	
525.948	3.96518e-07	
526.947	3.90638e-07	
527.947	3.85061e-07	
528.947	3.7976e-07	
529.947	3.74712e-07	
530.947	3.69899e-07	
531.947	3.653e-07	
532.947	3.60901e-07	
533.947	3.56687e-07	
534.947	3.52644e-07	
535.947	3.48762e-07	
536.946	3.45029e-07	
537.946	3.41435e-07	
538.946	3.37972e-07	
539.946	3.34632e-07	
540.946	3.31408e-07	
541.946	3.28292e-07	
542.946	3.25278e-07	
543.946	3.22362e-07	
544.946	3.19536e-07	
545.946	3.16797e-07	
546.945	3.1414e-07	
547.945	3.11561e-07	
548.945	3.09056e-07	
549.945	3.06621e-07	
550.945	3.04253e-07	
551.945	3.01949e-07	
552.945	2.99705e-07	
553.945	2.9752e-07	
554.945	2.9539e-07	
555.945	2.93313e-07	
556.944	2.91287e-07	
557.944	2.89309e-07	
558.944	2.87378e-07	
559.944	2.85492e-07	
560.944	2.83648e-07	
561.944	2.81846e-07	
562.944	2.80083e-07	
563.944	2.78359e-07	
564.944	2.76671e-07	
565.944	2.75018e-07	
566.943	2.73399e-07	
567.943	2.71814e-07	
568.943	2.70259e-07	
569.943	2.68736e-07	
570.943	2.67242e-07	
571.943	2.65776e-07	
572.943	2.64338e-07	
573.943	2.62926e-07	
574.943	2.6154e-07	
575.943	2.60179e-07	
576.942	2.58843e-07	
577.942	2.57529e-07	
578.942	2.56238e-07	
579.942	2.5497e-07	
580.942	2.53722e-07	
581.942	2.52495e-07	
582.942	2.51289e-07	
583.942	2.50102e-07	
584.942	2.48933e-07	
585.942	2.47783e-07	
586.941	2.46651e-07	
587.941	2.45537e-07	
588.941	2.44439e-07	
589.941	2.43358e-07	
590.941	2.42292e-07	
591.941	2.41243e-07	
592.941	2.40208e-07	
593.941	2.39188e-07	
594.941	2.38183e-07	
595.941	2.37192e-07	
596.94	2.36214e-07	
597.94	2.3525e-07	
598.94	2.34298e-07	
599.94	2.3336e-07	
600.94	2.32434e-07	
601.94	2.31519e-07	
602.94	2.30617e-07	
603.94	2.29726e-07	
604.94	2.28847e-07	
605.94	2.27978e-07	
606.939	2.27121e-07	
607.939	2.26273e-07	
608.939	2.25436e-07	
609.939	2.24609e-07	
610.939	2.23792e-07	
611.939	2.22985e-07	
612.939	2.22187e-07	
613.939	2.21398e-07	
614.939	2.20618e-07	
615.939	2.19847e-07	
616.938	2.19085e-07	
617.938	2.18331e-07	
618.938	2.17585e-07	
619.938	2.16848e-07	
620.938	9.46092e-06	
621.938	6.26203e-06	
622.938	5.0263e-06	
623.938	4.32294e-06	
624.938	3.85365e-06	
625.938	3.51158e-06	
626.937	3.24774e-06	
627.937	3.03604e-06	
628.937	2.86116e-06	
629.937	2.71343e-06	
630.937	2.58642e-06	
631.937	2.47562e-06	
632.937	2.37782e-06	
633.937	2.29062e-06	
634.937	2.21221e-06	
635.937	2.14116e-06	
636.936	2.07639e-06	
637.936	2.01699e-06	
638.936	1.96225e-06	
639.936	1.91158e-06	
640.936	1.86448e-06	
641.936	1.82055e-06	
642.936	1.77943e-06	
643.936	1.74084e-06	
644.936	1.70451e-06	
645.936	1.67022e-06	
646.935	1.6378e-06	
647.935	1.60706e-06	
648.935	1.57787e-06	
649.935	1.55009e-06	
650.935	1.52362e-06	
651.935	1.49834e-06	
652.935	1.47418e-06	
653.935	1.45104e-06	
654.935	1.42886e-06	
655.935	1.40757e-06	
656.934	1.38711e-06	
657.934	1.36742e-06	
658.934	1.34846e-06	
659.934	1.33018e-06	
660.934	1.31254e-06	
661.934	1.2955e-06	
662.934	1.27903e-06	
663.934	1.2631e-06	
