sqrts	xsec	
8400	0	
8408	0	
8416	0	
8424	0	
8432	0	
8440	0	
8448	0	
8456	0	
8464	0	
8472	0	
8480	0	
8488	7.13047e-10	
8496	4.75417e-10	
8504	3.80825e-10	
8512	3.2652e-10	
8520	2.90163e-10	
8528	2.6363e-10	
8536	2.43158e-10	
8544	2.26739e-10	
8552	2.13186e-10	
8560	2.01748e-10	
8568	1.91926e-10	
8576	1.83369e-10	
8584	1.75826e-10	
8592	1.69109e-10	
8600	1.63078e-10	
8608	1.57622e-10	
8616	1.52655e-10	
8624	1.48107e-10	
8632	1.43921e-10	
8640	1.40052e-10	
8648	1.36462e-10	
8656	1.33117e-10	
8664	1.29991e-10	
8672	1.27062e-10	
8680	1.24307e-10	
8688	1.21712e-10	
8696	1.19261e-10	
8704	1.1694e-10	
8712	1.14739e-10	
8720	1.12647e-10	
8728	1.10656e-10	
8736	1.08758e-10	
8744	1.06945e-10	
8752	1.05211e-10	
8760	1.03551e-10	
8768	1.01959e-10	
8776	1.00431e-10	
8784	9.89619e-11	
8792	9.7549e-11	
8800	9.61883e-11	
8808	9.48765e-11	
8816	9.36109e-11	
8824	9.23887e-11	
8832	9.12073e-11	
8840	9.00647e-11	
8848	8.89585e-11	
8856	8.7887e-11	
8864	8.68483e-11	
8872	8.58407e-11	
8880	8.48627e-11	
8888	8.39129e-11	
8896	8.29898e-11	
8904	8.20922e-11	
8912	8.12189e-11	
8920	8.03689e-11	
8928	7.95411e-11	
8936	7.87346e-11	
8944	7.79483e-11	
8952	7.71815e-11	
8960	7.64334e-11	
8968	7.57032e-11	
8976	7.49901e-11	
8984	7.42936e-11	
8992	7.36129e-11	
9000	7.29475e-11	
9008	7.22967e-11	
9016	7.16601e-11	
9024	7.10371e-11	
9032	7.04272e-11	
9040	6.983e-11	
9048	6.92451e-11	
9056	6.86719e-11	
9064	6.81102e-11	
9072	6.75594e-11	
9080	6.70193e-11	
9088	6.64896e-11	
9096	6.59698e-11	
9104	6.54596e-11	
9112	6.49589e-11	
9120	6.44672e-11	
9128	6.39843e-11	
9136	6.35099e-11	
9144	6.30438e-11	
9152	6.25858e-11	
9160	6.21355e-11	
9168	6.16928e-11	
9176	6.12575e-11	
9184	6.08294e-11	
9192	6.04081e-11	
9200	5.99937e-11	
9208	5.95858e-11	
9216	5.91844e-11	
9224	5.87892e-11	
9232	5.84e-11	
9240	5.80168e-11	
9248	5.76394e-11	
9256	5.72675e-11	
9264	5.69012e-11	
9272	5.65401e-11	
9280	5.61843e-11	
9288	5.58336e-11	
9296	5.54878e-11	
9304	5.51469e-11	
9312	5.48107e-11	
9320	5.44792e-11	
9328	5.41521e-11	
9336	5.38294e-11	
9344	5.35111e-11	
9352	5.3197e-11	
9360	5.28869e-11	
9368	5.2581e-11	
9376	5.22789e-11	
9384	5.19807e-11	
9392	5.16863e-11	
9400	5.13955e-11	
9408	5.11084e-11	
9416	5.08248e-11	
9424	5.05447e-11	
9432	5.02679e-11	
9440	4.99945e-11	
9448	4.97244e-11	
9456	4.94574e-11	
9464	4.91936e-11	
9472	4.89328e-11	
9480	4.8675e-11	
9488	4.84202e-11	
9496	4.81682e-11	
9504	4.79192e-11	
9512	4.76728e-11	
9520	4.74292e-11	
9528	4.71883e-11	
9536	4.69501e-11	
9544	4.67144e-11	
9552	4.64812e-11	
9560	4.62505e-11	
9568	4.60223e-11	
9576	4.57965e-11	
9584	4.5573e-11	
9592	4.53518e-11	
9600	4.5133e-11	
9608	4.49163e-11	
9616	4.47019e-11	
9624	4.44896e-11	
9632	4.42794e-11	
9640	4.40714e-11	
9648	4.38654e-11	
9656	4.36614e-11	
9664	4.34594e-11	
9672	4.32593e-11	
9680	4.30612e-11	
9688	4.28649e-11	
9696	4.26706e-11	
9704	4.2478e-11	
9712	4.22873e-11	
9720	4.20983e-11	
9728	4.19111e-11	
9736	4.17256e-11	
9744	4.15418e-11	
9752	4.13597e-11	
9760	4.11792e-11	
9768	4.10003e-11	
9776	4.0823e-11	
9784	4.06473e-11	
9792	4.04732e-11	
9800	4.03006e-11	
9808	4.01294e-11	
9816	3.99598e-11	
9824	3.97916e-11	
9832	3.96248e-11	
9840	3.94595e-11	
9848	3.92956e-11	
9856	3.9133e-11	
9864	3.89718e-11	
9872	3.88119e-11	
9880	3.86534e-11	
9888	3.84962e-11	
9896	3.83402e-11	
9904	3.81855e-11	
9912	3.80321e-11	
9920	3.78799e-11	
9928	3.77289e-11	
9936	3.75791e-11	
9944	3.74305e-11	
9952	3.72831e-11	
9960	3.71368e-11	
9968	3.69917e-11	
9976	3.68477e-11	
9984	3.67048e-11	
9992	3.6563e-11	
10000	3.64223e-11	
