sqrts	xsec	
8400	0	
8408	0	
8416	0	
8424	0	
8432	0	
8440	0	
8448	0	
8456	0	
8464	0	
8472	0	
8480	0	
8488	6.61693e-10	
8496	4.61418e-10	
8504	3.74689e-10	
8512	3.23389e-10	
8520	2.88503e-10	
8528	2.62796e-10	
8536	2.42833e-10	
8544	2.26744e-10	
8552	2.13416e-10	
8560	2.02136e-10	
8568	1.92427e-10	
8576	1.83953e-10	
8584	1.76472e-10	
8592	1.69801e-10	
8600	1.63804e-10	
8608	1.58374e-10	
8616	1.53425e-10	
8624	1.48891e-10	
8632	1.44715e-10	
8640	1.40853e-10	
8648	1.37267e-10	
8656	1.33925e-10	
8664	1.308e-10	
8672	1.27869e-10	
8680	1.25113e-10	
8688	1.22515e-10	
8696	1.20061e-10	
8704	1.17737e-10	
8712	1.15531e-10	
8720	1.13435e-10	
8728	1.1144e-10	
8736	1.09536e-10	
8744	1.07718e-10	
8752	1.05979e-10	
8760	1.04313e-10	
8768	1.02716e-10	
8776	1.01183e-10	
8784	9.97085e-11	
8792	9.82901e-11	
8800	9.69239e-11	
8808	9.56067e-11	
8816	9.43356e-11	
8824	9.3108e-11	
8832	9.19213e-11	
8840	9.07734e-11	
8848	8.9662e-11	
8856	8.85853e-11	
8864	8.75414e-11	
8872	8.65288e-11	
8880	8.55457e-11	
8888	8.45909e-11	
8896	8.36629e-11	
8904	8.27605e-11	
8912	8.18825e-11	
8920	8.10278e-11	
8928	8.01953e-11	
8936	7.93842e-11	
8944	7.85934e-11	
8952	7.78222e-11	
8960	7.70696e-11	
8968	7.63351e-11	
8976	7.56177e-11	
8984	7.4917e-11	
8992	7.42321e-11	
9000	7.35626e-11	
9008	7.29078e-11	
9016	7.22672e-11	
9024	7.16403e-11	
9032	7.10266e-11	
9040	7.04255e-11	
9048	6.98368e-11	
9056	6.92599e-11	
9064	6.86945e-11	
9072	6.81401e-11	
9080	6.75965e-11	
9088	6.70632e-11	
9096	6.65399e-11	
9104	6.60264e-11	
9112	6.55222e-11	
9120	6.50272e-11	
9128	6.4541e-11	
9136	6.40634e-11	
9144	6.35941e-11	
9152	6.31328e-11	
9160	6.26795e-11	
9168	6.22337e-11	
9176	6.17953e-11	
9184	6.13641e-11	
9192	6.09399e-11	
9200	6.05226e-11	
9208	6.01118e-11	
9216	5.97075e-11	
9224	5.93094e-11	
9232	5.89175e-11	
9240	5.85315e-11	
9248	5.81513e-11	
9256	5.77767e-11	
9264	5.74077e-11	
9272	5.70441e-11	
9280	5.66856e-11	
9288	5.63323e-11	
9296	5.5984e-11	
9304	5.56406e-11	
9312	5.53019e-11	
9320	5.49678e-11	
9328	5.46383e-11	
9336	5.43133e-11	
9344	5.39925e-11	
9352	5.3676e-11	
9360	5.33637e-11	
9368	5.30554e-11	
9376	5.2751e-11	
9384	5.24506e-11	
9392	5.21539e-11	
9400	5.18609e-11	
9408	5.15716e-11	
9416	5.12858e-11	
9424	5.10036e-11	
9432	5.07247e-11	
9440	5.04492e-11	
9448	5.01769e-11	
9456	4.99079e-11	
9464	4.9642e-11	
9472	4.93792e-11	
9480	4.91194e-11	
9488	4.88626e-11	
9496	4.86087e-11	
9504	4.83576e-11	
9512	4.81094e-11	
9520	4.78639e-11	
9528	4.76211e-11	
9536	4.73809e-11	
9544	4.71434e-11	
9552	4.69084e-11	
9560	4.66759e-11	
9568	4.64458e-11	
9576	4.62182e-11	
9584	4.5993e-11	
9592	4.577e-11	
9600	4.55494e-11	
9608	4.5331e-11	
9616	4.51149e-11	
9624	4.49009e-11	
9632	4.46891e-11	
9640	4.44793e-11	
9648	4.42716e-11	
9656	4.4066e-11	
9664	4.38624e-11	
9672	4.36607e-11	
9680	4.3461e-11	
9688	4.32631e-11	
9696	4.30672e-11	
9704	4.28731e-11	
9712	4.26808e-11	
9720	4.24903e-11	
9728	4.23016e-11	
9736	4.21145e-11	
9744	4.19292e-11	
9752	4.17456e-11	
9760	4.15637e-11	
9768	4.13833e-11	
9776	4.12046e-11	
9784	4.10274e-11	
9792	4.08519e-11	
9800	4.06778e-11	
9808	4.05053e-11	
9816	4.03342e-11	
9824	4.01646e-11	
9832	3.99965e-11	
9840	3.98298e-11	
9848	3.96645e-11	
9856	3.95006e-11	
9864	3.93381e-11	
9872	3.91769e-11	
9880	3.9017e-11	
9888	3.88585e-11	
9896	3.87012e-11	
9904	3.85452e-11	
9912	3.83905e-11	
9920	3.82371e-11	
9928	3.80848e-11	
9936	3.79338e-11	
9944	3.77839e-11	
9952	3.76353e-11	
9960	3.74878e-11	
9968	3.73414e-11	
9976	3.71962e-11	
9984	3.70521e-11	
9992	3.69091e-11	
10000	3.67672e-11	
