sqrts	xsec	
8400	0	
8408	0	
8416	0	
8424	0	
8432	0	
8440	0	
8448	0	
8456	0	
8464	0	
8472	0	
8480	0	
8488	1.80126e-10	
8496	1.20098e-10	
8504	9.6202e-11	
8512	8.24838e-11	
8520	7.32996e-11	
8528	6.65967e-11	
8536	6.14253e-11	
8544	5.72775e-11	
8552	5.38537e-11	
8560	5.09645e-11	
8568	4.84832e-11	
8576	4.63215e-11	
8584	4.44159e-11	
8592	4.27193e-11	
8600	4.11957e-11	
8608	3.98175e-11	
8616	3.85626e-11	
8624	3.74137e-11	
8632	3.63564e-11	
8640	3.5379e-11	
8648	3.4472e-11	
8656	3.36271e-11	
8664	3.28375e-11	
8672	3.20973e-11	
8680	3.14016e-11	
8688	3.07459e-11	
8696	3.01266e-11	
8704	2.95404e-11	
8712	2.89844e-11	
8720	2.8456e-11	
8728	2.7953e-11	
8736	2.74734e-11	
8744	2.70154e-11	
8752	2.65774e-11	
8760	2.6158e-11	
8768	2.57559e-11	
8776	2.53698e-11	
8784	2.49988e-11	
8792	2.46419e-11	
8800	2.42981e-11	
8808	2.39668e-11	
8816	2.36471e-11	
8824	2.33383e-11	
8832	2.30399e-11	
8840	2.27512e-11	
8848	2.24718e-11	
8856	2.22011e-11	
8864	2.19387e-11	
8872	2.16842e-11	
8880	2.14371e-11	
8888	2.11971e-11	
8896	2.09639e-11	
8904	2.07372e-11	
8912	2.05166e-11	
8920	2.03019e-11	
8928	2.00927e-11	
8936	1.9889e-11	
8944	1.96904e-11	
8952	1.94967e-11	
8960	1.93077e-11	
8968	1.91232e-11	
8976	1.89431e-11	
8984	1.87671e-11	
8992	1.85952e-11	
9000	1.84271e-11	
9008	1.82627e-11	
9016	1.81018e-11	
9024	1.79445e-11	
9032	1.77904e-11	
9040	1.76395e-11	
9048	1.74918e-11	
9056	1.7347e-11	
9064	1.7205e-11	
9072	1.70659e-11	
9080	1.69295e-11	
9088	1.67957e-11	
9096	1.66643e-11	
9104	1.65355e-11	
9112	1.6409e-11	
9120	1.62848e-11	
9128	1.61628e-11	
9136	1.60429e-11	
9144	1.59252e-11	
9152	1.58095e-11	
9160	1.56957e-11	
9168	1.55839e-11	
9176	1.54739e-11	
9184	1.53658e-11	
9192	1.52594e-11	
9200	1.51547e-11	
9208	1.50516e-11	
9216	1.49502e-11	
9224	1.48504e-11	
9232	1.47521e-11	
9240	1.46553e-11	
9248	1.45599e-11	
9256	1.4466e-11	
9264	1.43734e-11	
9272	1.42822e-11	
9280	1.41923e-11	
9288	1.41037e-11	
9296	1.40164e-11	
9304	1.39303e-11	
9312	1.38453e-11	
9320	1.37616e-11	
9328	1.36789e-11	
9336	1.35974e-11	
9344	1.3517e-11	
9352	1.34377e-11	
9360	1.33593e-11	
9368	1.3282e-11	
9376	1.32057e-11	
9384	1.31304e-11	
9392	1.3056e-11	
9400	1.29826e-11	
9408	1.291e-11	
9416	1.28384e-11	
9424	1.27676e-11	
9432	1.26977e-11	
9440	1.26287e-11	
9448	1.25604e-11	
9456	1.2493e-11	
9464	1.24263e-11	
9472	1.23604e-11	
9480	1.22953e-11	
9488	1.22309e-11	
9496	1.21673e-11	
9504	1.21044e-11	
9512	1.20421e-11	
9520	1.19806e-11	
9528	1.19198e-11	
9536	1.18596e-11	
9544	1.18e-11	
9552	1.17411e-11	
9560	1.16828e-11	
9568	1.16252e-11	
9576	1.15681e-11	
9584	1.15117e-11	
9592	1.14558e-11	
9600	1.14005e-11	
9608	1.13458e-11	
9616	1.12916e-11	
9624	1.1238e-11	
9632	1.11849e-11	
9640	1.11323e-11	
9648	1.10803e-11	
9656	1.10288e-11	
9664	1.09777e-11	
9672	1.09272e-11	
9680	1.08771e-11	
9688	1.08276e-11	
9696	1.07785e-11	
9704	1.07298e-11	
9712	1.06816e-11	
9720	1.06339e-11	
9728	1.05866e-11	
9736	1.05398e-11	
9744	1.04933e-11	
9752	1.04473e-11	
9760	1.04017e-11	
9768	1.03565e-11	
9776	1.03117e-11	
9784	1.02674e-11	
9792	1.02234e-11	
9800	1.01798e-11	
9808	1.01365e-11	
9816	1.00937e-11	
9824	1.00512e-11	
9832	1.00091e-11	
9840	9.96728e-12	
9848	9.92587e-12	
9856	9.8848e-12	
9864	9.84408e-12	
9872	9.8037e-12	
9880	9.76365e-12	
9888	9.72393e-12	
9896	9.68453e-12	
9904	9.64545e-12	
9912	9.60669e-12	
9920	9.56824e-12	
9928	9.5301e-12	
9936	9.49227e-12	
9944	9.45473e-12	
9952	9.41749e-12	
9960	9.38054e-12	
9968	9.34387e-12	
9976	9.3075e-12	
9984	9.2714e-12	
9992	9.23558e-12	
10000	9.20003e-12	
