sqrts	xsec	
8400	0	
8408	0	
8416	0	
8424	0	
8432	0	
8440	0	
8448	0	
8456	0	
8464	0	
8472	0	
8480	0	
8488	1.63526e-10	
8496	1.14667e-10	
8504	9.32818e-11	
8512	8.05821e-11	
8520	7.19277e-11	
8528	6.55419e-11	
8536	6.05783e-11	
8544	5.65754e-11	
8552	5.32578e-11	
8560	5.0449e-11	
8568	4.80305e-11	
8576	4.59191e-11	
8584	4.40545e-11	
8592	4.23917e-11	
8600	4.08966e-11	
8608	3.95426e-11	
8616	3.83086e-11	
8624	3.71778e-11	
8632	3.61363e-11	
8640	3.51729e-11	
8648	3.42782e-11	
8656	3.34444e-11	
8664	3.26647e-11	
8672	3.19335e-11	
8680	3.12458e-11	
8688	3.05976e-11	
8696	2.9985e-11	
8704	2.9405e-11	
8712	2.88546e-11	
8720	2.83315e-11	
8728	2.78334e-11	
8736	2.73583e-11	
8744	2.69045e-11	
8752	2.64704e-11	
8760	2.60546e-11	
8768	2.56559e-11	
8776	2.52731e-11	
8784	2.49051e-11	
8792	2.4551e-11	
8800	2.42099e-11	
8808	2.38811e-11	
8816	2.35638e-11	
8824	2.32573e-11	
8832	2.2961e-11	
8840	2.26744e-11	
8848	2.23969e-11	
8856	2.21281e-11	
8864	2.18675e-11	
8872	2.16146e-11	
8880	2.13692e-11	
8888	2.11308e-11	
8896	2.08991e-11	
8904	2.06737e-11	
8912	2.04545e-11	
8920	2.02411e-11	
8928	2.00332e-11	
8936	1.98307e-11	
8944	1.96332e-11	
8952	1.94406e-11	
8960	1.92527e-11	
8968	1.90693e-11	
8976	1.88901e-11	
8984	1.87151e-11	
8992	1.85441e-11	
9000	1.83769e-11	
9008	1.82134e-11	
9016	1.80534e-11	
9024	1.78969e-11	
9032	1.77436e-11	
9040	1.75935e-11	
9048	1.74465e-11	
9056	1.73024e-11	
9064	1.71612e-11	
9072	1.70228e-11	
9080	1.6887e-11	
9088	1.67538e-11	
9096	1.66232e-11	
9104	1.64949e-11	
9112	1.6369e-11	
9120	1.62454e-11	
9128	1.61239e-11	
9136	1.60047e-11	
9144	1.58874e-11	
9152	1.57723e-11	
9160	1.5659e-11	
9168	1.55477e-11	
9176	1.54382e-11	
9184	1.53305e-11	
9192	1.52246e-11	
9200	1.51203e-11	
9208	1.50177e-11	
9216	1.49168e-11	
9224	1.48173e-11	
9232	1.47195e-11	
9240	1.46231e-11	
9248	1.45281e-11	
9256	1.44345e-11	
9264	1.43424e-11	
9272	1.42515e-11	
9280	1.4162e-11	
9288	1.40738e-11	
9296	1.39868e-11	
9304	1.3901e-11	
9312	1.38164e-11	
9320	1.3733e-11	
9328	1.36507e-11	
9336	1.35695e-11	
9344	1.34894e-11	
9352	1.34103e-11	
9360	1.33323e-11	
9368	1.32553e-11	
9376	1.31793e-11	
9384	1.31042e-11	
9392	1.30301e-11	
9400	1.2957e-11	
9408	1.28847e-11	
9416	1.28133e-11	
9424	1.27428e-11	
9432	1.26732e-11	
9440	1.26043e-11	
9448	1.25363e-11	
9456	1.24691e-11	
9464	1.24027e-11	
9472	1.23371e-11	
9480	1.22722e-11	
9488	1.22081e-11	
9496	1.21446e-11	
9504	1.20819e-11	
9512	1.20199e-11	
9520	1.19586e-11	
9528	1.1898e-11	
9536	1.1838e-11	
9544	1.17786e-11	
9552	1.17199e-11	
9560	1.16619e-11	
9568	1.16044e-11	
9576	1.15475e-11	
9584	1.14913e-11	
9592	1.14356e-11	
9600	1.13805e-11	
9608	1.13259e-11	
9616	1.12719e-11	
9624	1.12185e-11	
9632	1.11656e-11	
9640	1.11132e-11	
9648	1.10613e-11	
9656	1.10099e-11	
9664	1.09591e-11	
9672	1.09087e-11	
9680	1.08588e-11	
9688	1.08094e-11	
9696	1.07605e-11	
9704	1.0712e-11	
9712	1.06639e-11	
9720	1.06164e-11	
9728	1.05692e-11	
9736	1.05225e-11	
9744	1.04762e-11	
9752	1.04303e-11	
9760	1.03849e-11	
9768	1.03398e-11	
9776	1.02952e-11	
9784	1.02509e-11	
9792	1.02071e-11	
9800	1.01636e-11	
9808	1.01205e-11	
9816	1.00778e-11	
9824	1.00354e-11	
9832	9.99341e-12	
9840	9.95177e-12	
9848	9.91048e-12	
9856	9.86954e-12	
9864	9.82894e-12	
9872	9.78867e-12	
9880	9.74874e-12	
9888	9.70913e-12	
9896	9.66985e-12	
9904	9.63089e-12	
9912	9.59224e-12	
9920	9.55391e-12	
9928	9.51588e-12	
9936	9.47815e-12	
9944	9.44072e-12	
9952	9.40358e-12	
9960	9.36674e-12	
9968	9.33018e-12	
9976	9.29391e-12	
9984	9.25791e-12	
9992	9.22219e-12	
10000	9.18674e-12	
