sqrts	xsec	
11000	0	
11089	0	
11178	0	
11267	0	
11356	0	
11445	0	
11534	0	
11623	0	
11712	0	
11801	0	
11890	0	
11979	0	
12068	1.2594e-08	
12157	6.29735e-09	
12246	4.72341e-09	
12335	3.91833e-09	
12424	3.40677e-09	
12513	3.04402e-09	
12602	2.769e-09	
12691	2.55088e-09	
12780	2.37219e-09	
12869	2.22216e-09	
12958	2.09376e-09	
13047	1.98217e-09	
13136	1.88397e-09	
13225	1.79664e-09	
13314	1.71827e-09	
13403	1.64742e-09	
13492	1.58293e-09	
13581	1.5239e-09	
13670	1.46958e-09	
13759	1.41939e-09	
13848	1.3728e-09	
13937	1.32942e-09	
14026	1.28889e-09	
14115	1.2509e-09	
14204	1.2152e-09	
14293	1.18157e-09	
14382	1.14982e-09	
14471	1.11978e-09	
14560	1.0913e-09	
14649	1.06425e-09	
14738	1.03852e-09	
14827	1.01401e-09	
14916	9.90619e-10	
15005	9.68272e-10	
15094	9.46893e-10	
15183	9.26416e-10	
15272	9.06781e-10	
15361	8.87934e-10	
15450	8.69823e-10	
15539	8.52405e-10	
15628	8.35637e-10	
15717	8.19482e-10	
15806	8.03904e-10	
15895	7.88872e-10	
15984	7.74354e-10	
16073	7.60325e-10	
16162	7.46758e-10	
16251	7.3363e-10	
16340	7.20919e-10	
16429	7.08604e-10	
16518	6.96666e-10	
16607	6.85088e-10	
16696	6.73853e-10	
16785	6.62945e-10	
16874	6.52349e-10	
16963	6.42053e-10	
17052	6.32043e-10	
17141	6.22306e-10	
17230	6.12832e-10	
17319	6.0361e-10	
17408	5.9463e-10	
17497	5.85881e-10	
17586	5.77356e-10	
17675	5.69045e-10	
17764	5.6094e-10	
17853	5.53034e-10	
17942	5.45319e-10	
18031	5.37788e-10	
18120	5.30435e-10	
18209	5.23254e-10	
18298	5.16238e-10	
18387	5.09381e-10	
18476	5.0268e-10	
18565	4.96127e-10	
18654	4.89719e-10	
18743	4.8345e-10	
18832	4.77316e-10	
18921	4.71313e-10	
19010	4.65436e-10	
19099	4.59683e-10	
19188	4.54048e-10	
19277	4.48528e-10	
19366	4.4312e-10	
19455	4.37821e-10	
19544	4.32627e-10	
19633	4.27535e-10	
